Date,Country,Injuries/Casualties,Type,Description,Source(s),cite_id,links
2016-06-18,United States,1,Fall,"A 37-year-old EMS lieutenant of the New York City Fire Department, was mountain climbing near Lake George in the Adirondack Mountains. She was on a ledge at the top of Roaring Brook Falls preparing to take a selfie when she disappeared from sight. Rescue services found her body in the water at the base of the falls.",cite_ref-100,cite_ref-100,"['http://www.nydailynews.com/new-york/nyc-ems-lieutenant-killed-upstate-hiking-accident-article-1.2679790', 'https://web.archive.org/web/20160819013418/http://www.nydailynews.com/new-york/nyc-ems-lieutenant-killed-upstate-hiking-accident-article-1.2679790']"
2016-06-18,United States,1,Fall,"A 37-year-old EMS lieutenant of the New York City Fire Department, was mountain climbing near Lake George in the Adirondack Mountains. She was on a ledge at the top of Roaring Brook Falls preparing to take a selfie when she disappeared from sight. Rescue services found her body in the water at the base of the falls.",cite_ref-101,cite_ref-101,"['http://www.fxtribune.com/local/emt-fatally-falls-off-cliff-while-taking-selfie-h139578.html', 'https://web.archive.org/web/20160819060053/http://www.fxtribune.com/local/emt-fatally-falls-off-cliff-while-taking-selfie-h139578.html']"
2016-06-22,India,7,Drowned,"Seven people aged 16 to 31 were swept away and drowned while taking a selfie in the river Ganges in Kanpur, Uttar Pradesh, India. According to a police official, they had gone for a picnic at Kanpur Ganges Barrage when one of the party tried to take a selfie by standing on the edge of the barrage and tripped and fell into the Ganges. The river was already in spate due to rains in the region. The six others, in an attempt to save him, jumped into the river but were themselves swept away by the current.",cite_ref-102,cite_ref-102,"['http://www.ndtv.com/kanpur-news/selfie-in-river-ganga-causes-death-of-7-students-1422222', 'https://web.archive.org/web/20160626121905/http://www.ndtv.com/kanpur-news/selfie-in-river-ganga-causes-death-of-7-students-1422222']"
2016-06-22,India,1,Fall,"A third year engineering student of a Lonavla-based college and hailing from Nashik, lost his balance while taking a selfie from the Amrutanjan Bridge and fell down next to the Mumbai Pune Expressway in Maharashtra, India. He died on the spot.",cite_ref-103,cite_ref-103,"['http://www.hindustantimes.com/india-news/another-selfie-death-youth-falls-off-expressway-bridge-near-khandala-dies/story-E90VGjfjOKP0QSZ1uQT6oM.html', 'https://web.archive.org/web/20160623162954/http://www.hindustantimes.com/india-news/another-selfie-death-youth-falls-off-expressway-bridge-near-khandala-dies/story-E90VGjfjOKP0QSZ1uQT6oM.html']"
2016-06-22,India,1,Fall,"A third year engineering student of a Lonavla-based college and hailing from Nashik, lost his balance while taking a selfie from the Amrutanjan Bridge and fell down next to the Mumbai Pune Expressway in Maharashtra, India. He died on the spot.",cite_ref-104,cite_ref-104,"['http://www.siasat.com/news/youth-falls-death-taking-selfie-bridge-977397/', 'https://web.archive.org/web/20160815164256/http://www.siasat.com/news/youth-falls-death-taking-selfie-bridge-977397/']"
2016-06-29,Peru,1,Fall,"A 51-year-old German tourist visiting Machu Picchu in Peru, fell 130 feet (40 m) to his death after he lost his footing while leaping into the air for a ""flying selfie"".",cite_ref-106,cite_ref-106,"['https://www.bbc.co.uk/news/world-latin-america-36680663', 'https://web.archive.org/web/20160701021352/http://www.bbc.co.uk/news/world-latin-america-36680663']"
2016-07-02,India,1,Fall,"A 32-year-old resident of Mali Mohalla, near Saharanpur Chowk, Dehradun (India), lost his life after he fell in a 150-feet deep gorge while taking a selfie near Chunakhaal on Dehradun-Mussoorie road in Uttarakhand, India. This is not the first incident of this kind on the road. Last year, a youth died when he stepped backwards and fell into a deep gorge while his friend was clicking a picture.",cite_ref-107,cite_ref-107,"['http://www.tribuneindia.com/news/uttarakhand/selfie-costs-man-his-life/260252.html', 'https://web.archive.org/web/20160703112914/http://www.tribuneindia.com/news/uttarakhand/selfie-costs-man-his-life/260252.html']"
2016-07-06,India,4,Drowned,"Four students were taking selfies near Purva waterfall on Tamas River in Rewa district of Madhya Pradesh, India. They were unaware of an oncoming flash flood and all four were swept away and drowned.",cite_ref-108,cite_ref-108,"['http://timesofindia.indiatimes.com/city/bhopal/Four-selfie-taking-youths-killed-in-Madhya-Pradesh-flash-floods/articleshow/53083662.cms', 'https://web.archive.org/web/20160711110954/http://timesofindia.indiatimes.com/city/bhopal/Four-selfie-taking-youths-killed-in-Madhya-Pradesh-flash-floods/articleshow/53083662.cms']"
2016-07-12,India,1,Fall,"A 36-year-old and a friend climbed to a mountain peak at Khandala, India, against warnings. There they took selfies with a waterfall in the background, but the 36-year-old slipped and fell into a 200-foot-deep quarry and died.",cite_ref-109,cite_ref-109,"['http://www.mid-day.com/articles/clicking-selfie-claims-another-life-mumbai-boy-falls-in-quarry-at-khandala/17429196', 'https://web.archive.org/web/20160807051629/http://www.mid-day.com/articles/clicking-selfie-claims-another-life-mumbai-boy-falls-in-quarry-at-khandala/17429196']"
2016-07-12,Nepal,1,Animal,"In southern Nepal, a truck driver stopped for a wild herd of 21 elephants crossing the road. The driver exited his vehicle to take a selfie with the animals. The herd attacked and killed the man.",cite_ref-110,cite_ref-110,"['http://archyworldys.com/elephant-kills-selfie-photographers/', 'https://web.archive.org/web/20160816180329/http://archyworldys.com/elephant-kills-selfie-photographers/']"
2016-07-13,India,2,Drowned,"Two students drowned while taking selfies at Kosi Dam near Rampur, Uttar Pradesh, India. A group of students were taking selfies and became trapped in a vortex; the rest were saved.",cite_ref-111,cite_ref-111,"['http://www.samacharplus.com/~samachar/index.php/en/cities/31-up-uttarakhand/11117-two-selfie-lovers-died-while-clicking-selfie-in-lalpur-kosi-dam-at-rampur', 'https://web.archive.org/web/20160822212811/http://www.samacharplus.com/~samachar/index.php/en/cities/31-up-uttarakhand/11117-two-selfie-lovers-died-while-clicking-selfie-in-lalpur-kosi-dam-at-rampur']"
2016-07-13,Vietnam,2,Transport,"In the province of Hung Yen, Vietnam, two men aged 21 and 28 were hit and killed by a train while taking a selfie on the tracks. Bystanders tried to shout warnings at the men but they could not hear them due to wearing earphones.",cite_ref-112,cite_ref-112,"['http://www.thanhniennews.com/society/2-vietnamese-hit-and-killed-by-train-while-taking-selfie-64169.html', 'https://web.archive.org/web/20160717143419/http://www.thanhniennews.com/society/2-vietnamese-hit-and-killed-by-train-while-taking-selfie-64169.html']"
2016-07-17,India,2,Drowned,"A married couple ages 40 and 42, from Tirupur district of Tamil Nadu, were swept away by a ""giant wave"" in Kanyakumari, India, while they were taking a selfie.",cite_ref-113,cite_ref-113,"['http://timesofindia.indiatimes.com/india/Couple-taking-selfie-swept-away-by-giant-wave-in-Kanyakumari/articleshow/53264956.cms', '/wiki/The_Times_of_India', 'https://web.archive.org/web/20160718123340/http://timesofindia.indiatimes.com/india/Couple-taking-selfie-swept-away-by-giant-wave-in-Kanyakumari/articleshow/53264956.cms']"
2016-07-19,India,2,Fall,"In an incident reported on 19 July, two people were taking selfies at Alekan waterfall in Charmadi Ghat, India. The two, Hanumanthappa (34) and Nagabhushan (38), residents of Chitradurga district, lost balance and fell into the waterfall. They were both killed.",cite_ref-114,cite_ref-114,"['http://www.udayavani.com/english/news/puttur-sullia-belthangadi/159415/selfie-craze-two-killed-after-falling-down-alekan-waterfall', 'https://web.archive.org/web/20160729204214/http://www.udayavani.com/english/news/puttur-sullia-belthangadi/159415/selfie-craze-two-killed-after-falling-down-alekan-waterfall']"
2016-07-23,India,1,Fall,"At Amboli Falls, a popular tourist destination in Sindhudurg district in Maharashtra, India, a youth fell into a 60-foot-deep gorge while taking a selfie. He died.",cite_ref-115,cite_ref-115,"['http://www.thehindu.com/news/national/karnataka/youth-dies-while-taking-selfie-near-falls/article8892831.ece', 'https://web.archive.org/web/20160724114916/http://www.thehindu.com/news/national/karnataka/youth-dies-while-taking-selfie-near-falls/article8892831.ece']"
2016-07-27,India,1,Drowned,"A 24-year-old woman was swept away to her death by the swollen waters of Baandal river near Maldevta area on the outskirts of Dehradun, India. She was taking a selfie at the time of the incident, bringing the toll of selfie deaths in Dehradun to four for the year.",cite_ref-116,cite_ref-116,"['http://timesofindia.indiatimes.com/city/dehradun/Woman-falls-into-river-while-taking-selfie-dies/articleshow/53421626.cms', 'https://web.archive.org/web/20160730013014/http://timesofindia.indiatimes.com/city/dehradun/Woman-falls-into-river-while-taking-selfie-dies/articleshow/53421626.cms']"
2016-07-30,India,1,Drowned,"A 20-year-old national-level athlete slipped and fell into a pond while taking a selfie near a harvesting plant at the Sports Authority of India (SAI) centre in Bhopal. She did not know how to swim. Her two companions, who also were unable to swim, ran for help. She was taken to a hospital where she was pronounced dead.",cite_ref-117,cite_ref-117,"['http://www.news18.com/news/other-sports/national-level-athlete-dies-while-taking-selfie-1275720.html', 'https://web.archive.org/web/20160801043042/http://www.news18.com/news/other-sports/national-level-athlete-dies-while-taking-selfie-1275720.html']"
2016-07-30,India,1,Drowned,"A 20-year-old national-level athlete slipped and fell into a pond while taking a selfie near a harvesting plant at the Sports Authority of India (SAI) centre in Bhopal. She did not know how to swim. Her two companions, who also were unable to swim, ran for help. She was taken to a hospital where she was pronounced dead.",cite_ref-118,cite_ref-118,"['http://www.business-standard.com/article/news-ani/national-level-athlete-dies-while-clicking-selfie-116073100083_1.html', 'https://web.archive.org/web/20160804024341/http://www.business-standard.com/article/news-ani/national-level-athlete-dies-while-clicking-selfie-116073100083_1.html']"
2016-07-31,India,2,Fall,"A 24-year-old Indian man, a well-known local-level wrestler from Bhadohi, fell to his death while taking a selfie near the Vindham waterfall in Uttar Pradesh. A friend who dived into the water to rescue him was taken to the hospital in critical condition.",cite_ref-119,cite_ref-119,"['http://www.indiatimes.com/sports/another-selfie-death-this-time-a-wrestler-drowns-in-a-waterfall-259298.html', 'https://web.archive.org/web/20160807023640/http://www.indiatimes.com/sports/another-selfie-death-this-time-a-wrestler-drowns-in-a-waterfall-259298.html']"
2016-08-02,United States,1,Firearm,A 22-year-old Florida woman accidentally shot her phone while taking a picture of herself for Snapchat while posing with a .40 caliber pistol. She suffered minor injuries to her hand. The phone was shattered.,cite_ref-120,cite_ref-120,"['http://www.palmbeachpost.com/news/news/state-regional/florida-woman-shoots-herself-while-using-snapchat/nr8Tq/', 'https://web.archive.org/web/20160803214518/http://www.palmbeachpost.com/news/news/state-regional/florida-woman-shoots-herself-while-using-snapchat/nr8Tq/']"
2016-08-03,India,1,Fall,"A 22-year-old engineering student from Andhra Pradesh was vacationing with six friends in Tamil Nadu state, South India. While taking a selfie standing on the edge of a 2,000-foot-deep gorge at Vilpatti village on upper Kodaikanal hill, he slipped and plunged to his death.",cite_ref-121,cite_ref-121,['http://www.thehindu.com/news/national/tamil-nadu/selfie-brings-death-to-ap-engineering-student/article8946272.ece']
2016-08-07,India,1,Fall,"A 27-year-old lawyer from India was visiting Mandoshi ghat, near  Bhimashanjar. She and her husband were sitting on boulders that form a safety barrier from a 100-foot gorge below. As she positioned herself for a selfie, one of the boulders came loose in wet earth, and she slipped over the edge. Her husband attempted to arrest her fall but was unable to hold on. She sustained head injuries and was taken to hospital by her husband, where she was pronounced dead.",cite_ref-122,cite_ref-122,"['http://timesofindia.indiatimes.com/city/pune/Woman-dies-after-falling-into-gorge-while-taking-selfie/articleshow/53626880.cms', 'https://web.archive.org/web/20160810184507/http://timesofindia.indiatimes.com/city/pune/Woman-dies-after-falling-into-gorge-while-taking-selfie/articleshow/53626880.cms']"
2016-08-09,Pakistan,3,Drowned,"An 11-year-old Pakistani girl drowned while attempting to take a selfie at the Kunhar River, which flows through Khyber Pakhtunkhwa province in Pakistan. The girl's mother jumped into the fast-moving river to save her but she was also swept away and drowned. On seeing both his daughter and wife in trouble the father jumped in; he also drowned. The dead bodies of the mother and her daughter were found; the father's body was missing. The six-year-old son of the family was a witness of the tragedy.",cite_ref-123,cite_ref-123,"['http://www.dawn.com/news/1277921', 'https://web.archive.org/web/20160817072446/http://www.dawn.com/news/1277921']"
2016-08-12,India,1,Fall,"A 22-year-old student of Kherva Ganpat University, Mehsana in Gujarat, India, climbed a glass dome on the third-floor terrace of a building to take a selfie. The fragile glass collapsed and she plunged 70 feet to the ground floor and was killed. Selfies were subsequently banned at the school in ""risky places"".",cite_ref-124,cite_ref-124,"['http://timesofindia.indiatimes.com/city/ahmedabad/Varsity-bans-selfies-after-student-plunges-to-death/articleshow/53662780.cms', 'https://web.archive.org/web/20160812103033/http://timesofindia.indiatimes.com/city/ahmedabad/Varsity-bans-selfies-after-student-plunges-to-death/articleshow/53662780.cms']"
2016-08-12,India,4,Drowned,Four teenagers aged 15–19 took selfies in the ocean surf at Maharashtra during a storm. They were swept away by a large wave (their bodies were not recovered).,cite_ref-125,cite_ref-125,"['http://rushincrash.com/world/indian-teenagers-swept-into-the-sea-while-attempting-to-take-a-selfie/', 'https://web.archive.org/web/20160825203055/http://rushincrash.com/world/indian-teenagers-swept-into-the-sea-while-attempting-to-take-a-selfie/']"
2016-08-15,India,1,Fall,"A class 12 student residing at Peelamedu, India, was sightseeing with friends and noticed a huge well dug in a field. While leaning over the edge of the well to take a selfie to show its depth, he slipped and fell in. The well is 120 feet deep with a water level of 60 feet. He died in the well before he could be rescued.",cite_ref-126,cite_ref-126,"['http://freevoice.club/tamil-nadu-selfie-turns-fatal-class-12-boy-dies/', 'https://web.archive.org/web/20160925005540/http://freevoice.club/tamil-nadu-selfie-turns-fatal-class-12-boy-dies/']"
2016-08-16,India,1,Firearm,A 35-year-old Indian woman from Muzaffarnagar was taking a selfie with a gun when it fired. She sustained serious injuries.,cite_ref-127,cite_ref-127,"['http://www.newsx.com/national/38341-35-year-old-accidently-shoots-herself-while-taking-selfie-with-a-loaded-gun', 'https://web.archive.org/web/20160818160730/http://www.newsx.com/national/38341-35-year-old-accidently-shoots-herself-while-taking-selfie-with-a-loaded-gun']"
2016-08-20,Pakistan,2,Drowned,"A Pakistani man drowned while attempting to take a selfie at the Kunhar River that flows through Khyber Pakhtunkhwa province in Pakistan. His cousin jumped in to save him, but she was also swept away and drowned. It was the second selfie-related death incident on the Kunhar River in August.",cite_ref-128,cite_ref-128,"['http://en.dailypakistan.com.pk/pakistan/two-more-drown-in-latest-selfie-deaths-in-kunhar-river/', 'https://web.archive.org/web/20160822185859/http://en.dailypakistan.com.pk/pakistan/two-more-drown-in-latest-selfie-deaths-in-kunhar-river/']"
2016-08-21,Pakistan,3,Other,"Three Pakistani women were killed while taking selfies near a road at Lake Saiful Muluk. They were inside a melt hole, or cave, at the front edge of a receding glacier when the roof collapsed and they were crushed.",cite_ref-129,cite_ref-129,"['http://www.pakistantoday.com.pk/2016/08/21/national/three-women-killed-in-avalanche-while-taking-selfie-near-saif-ul-malook/', 'https://web.archive.org/web/20160822073912/http://www.pakistantoday.com.pk/2016/08/21/national/three-women-killed-in-avalanche-while-taking-selfie-near-saif-ul-malook/']"
2016-09-17,India,5,Drowned,"Six young women (engineering students from Vaagdevi college of Engineering, Bollikunta) were standing on a rock at the edge of a reservoir in Warangal Urban district of Telangana, India, taking selfies. One student slipped and fell into the lake, and one after another the rest went in to save her. One student survived, five drowned.",cite_ref-130,cite_ref-130,"['http://www.hindustantimes.com/nation-newspaper/5-engineering-students-drown-taking-selfies-in-telangana/story-0S57bxe2ZuzkMS9kDRh1EL.html', 'https://web.archive.org/web/20160926192521/http://www.hindustantimes.com/nation-newspaper/5-engineering-students-drown-taking-selfies-in-telangana/story-0S57bxe2ZuzkMS9kDRh1EL.html']"
2016-09-17,India,5,Drowned,"Six young women (engineering students from Vaagdevi college of Engineering, Bollikunta) were standing on a rock at the edge of a reservoir in Warangal Urban district of Telangana, India, taking selfies. One student slipped and fell into the lake, and one after another the rest went in to save her. One student survived, five drowned.",cite_ref-131,cite_ref-131,"['http://www.newindianexpress.com/states/telangana/Selfie-kills-again-claims-five-engineering-students-lives-near-Dharmasagar-reservoir/2016/09/18/article3624062.ece', 'https://web.archive.org/web/20160922015059/http://www.newindianexpress.com/states/telangana/Selfie-kills-again-claims-five-engineering-students-lives-near-Dharmasagar-reservoir/2016/09/18/article3624062.ece']"
2016-09-18,Kenya,1,Animal,"A 66-year-old Italian tourist visiting Kenya was having breakfast with his wife in a tent at the Swara Camp in Kulalu ranch. He saw wild elephants and approached them closely. While taking a selfie he was charged by an elephant, sustained serious injuries to his leg and died at the camp.",cite_ref-132,cite_ref-132,"['https://sotrueng.wordpress.com/2016/09/20/an-italian-tourist-got-killed-while-attempting-to-take-a-selfie-with-an-elephant-in-kenya/', 'https://web.archive.org/web/20170730062702/https://sotrueng.wordpress.com/2016/09/20/an-italian-tourist-got-killed-while-attempting-to-take-a-selfie-with-an-elephant-in-kenya/']"
2016-10-01,India,2,Drowned,"Two teenagers from Hyderabad were taking selfies in a quarry recently filled with rainwater. They went too deep and, unable to swim to shore, they drowned.",cite_ref-134,cite_ref-134,"['http://www.newsx.com/national/42773-selfie-craze-claims-2-lives-in-hyderabad-teenagers-drown-in-quarry', 'https://web.archive.org/web/20161004172127/http://www.newsx.com/national/42773-selfie-craze-claims-2-lives-in-hyderabad-teenagers-drown-in-quarry']"
2016-10-08,Oman,2,Drowned,"Two Sri Lankan girls were visiting Ain Garziz in Oman with their families. While at a picnic, they were taking selfies near a deep spring. One girl slipped into the spring and grabbed the hand of the other. She was unable to pull her companion out and was dragged down into the water where both of the girls drowned.",cite_ref-135,cite_ref-135,"['http://www.khaleejtimes.com/region/oman/two-sri-lankan-girls-in-oman-drown-while-taking-a-selfie', 'https://web.archive.org/web/20161010044802/http://www.khaleejtimes.com/region/oman/two-sri-lankan-girls-in-oman-drown-while-taking-a-selfie']"
2016-10-09,India,1,Fall,A 25-year-old Indian man fell to his death while taking a selfie with his friends at Lion's Point Valley near Lonavla. He slipped and fell 200 feet (61 m) into a gorge and died on the spot.,cite_ref-136,cite_ref-136,"['http://timesofindia.indiatimes.com/city/pune/25-year-old-falls-to-death-in-Lonavla-while-taking-selfie/articleshow/54760254.cms', 'https://web.archive.org/web/20161009102833/http://timesofindia.indiatimes.com/city/pune/25-year-old-falls-to-death-in-Lonavla-while-taking-selfie/articleshow/54760254.cms']"
2016-10-09,Sri Lanka,1,Transport,A Chinese woman visiting Sri Lanka fell from a moving train while taking a selfie. She later died from her injuries.,cite_ref-137,cite_ref-137,['http://en.apdnews.com/xin-hua/505030.html']
2016-10-11,India,1,Drowned,"A student drowned in the Jaldhaka River at Bindu village, Kalimpong subdivision in West Bengal. The body was retrieved four days later.",cite_ref-138,cite_ref-138,"['http://www.anandabazar.com/district/uttarbanga/student-missing-in-the-river-while-snapping-selfie-1.494017', 'https://web.archive.org/web/20161130110711/http://www.anandabazar.com/district/uttarbanga/student-missing-in-the-river-while-snapping-selfie-1.494017']"
2016-10-12,India,1,Drowned,"A 25-year-old software engineer fell into a river and drowned in Gajapati, Odisha, India, while taking a selfie.",cite_ref-139,cite_ref-139,"['http://www.newindianexpress.com/states/odisha/2016/oct/13/death-by-selfie-software-engineer-drowns-in-odisha-1527547.html', 'https://web.archive.org/web/20161130035653/http://www.newindianexpress.com/states/odisha/2016/oct/13/death-by-selfie-software-engineer-drowns-in-odisha-1527547.html']"
2016-10-18,Russia,1,Fall,A 12-year-old Russian schoolgirl climbed over a balcony on the 17th floor of a building and fell while taking a selfie.,cite_ref-140,cite_ref-140,"['http://www.bbc.co.uk/newsbeat/article/37689716/girl-aged-12-dies-after-taking-extreme-selfie', 'https://web.archive.org/web/20161124234153/http://www.bbc.co.uk/newsbeat/article/37689716/girl-aged-12-dies-after-taking-extreme-selfie']"
2016-11-11,India,2,Drowned,Two students drowned while taking selfies; they were swept away by currents in the Nagarjuna Sagar canal.,cite_ref-141,cite_ref-141,"['http://www.newscrab.com/telangana-two-students-drown-to-death-while-taking-selfie/', 'https://web.archive.org/web/20161130041827/http://www.newscrab.com/telangana-two-students-drown-to-death-while-taking-selfie/']"
