Date,Country,Injuries/Casualties,Type,Description,Source(s),cite_id,links
2016-11-11,India,2,Drowned,Two students drowned while taking selfies; they were swept away by currents in the Nagarjuna Sagar canal.,cite_ref-142,cite_ref-142,"['http://www.hindustantimes.com/india-news/death-by-selfie-two-btech-students-drown-at-nagarjuna-sagar-in-telangana/story-JViDtcWeRJio0wgOWMCUZJ.html', 'https://web.archive.org/web/20161130042712/http://www.hindustantimes.com/india-news/death-by-selfie-two-btech-students-drown-at-nagarjuna-sagar-in-telangana/story-JViDtcWeRJio0wgOWMCUZJ.html']"
2017-01-01,India,1,Transport,"A 21-year-old engineering student died when he was hit by a speeding train while trying to take a selfie in Coimbatore, Tamil Nadu, India.",cite_ref-143,cite_ref-143,"['http://www.hindustantimes.com/india-news/engg-student-dies-while-taking-selfie-in-tn-hit-by-train-he-wanted-in-backdrop/story-4xlUhD4y6WvY6PABCuDybN.html', 'https://web.archive.org/web/20170116160953/http://www.hindustantimes.com/india-news/engg-student-dies-while-taking-selfie-in-tn-hit-by-train-he-wanted-in-backdrop/story-4xlUhD4y6WvY6PABCuDybN.html']"
2017-01-04,Pakistan,1,Drowned,"In Sukkur, Pakistan, a man fell into the Indus River and drowned as he tried to capture his selfie at the Lansdowne Bridge Rohri. Asif Jamil, a resident of Christian Colony, was visiting the bridge with his wife for a picnic.",cite_ref-144,cite_ref-144,"['https://www.geo.tv/latest/126198-Deadly-selfie-takes-a-life-in-Sukkur', '/w/index.php?title=Geo_NEWS_Pakistan&action=edit&redlink=1', 'https://web.archive.org/web/20170105181701/https://www.geo.tv/latest/126198-Deadly-selfie-takes-a-life-in-Sukkur']"
2017-01-06,Croatia,2,Electrocution,"In Rijeka, Croatia, two men climbed onto a container on a train where they wanted to take a selfie. A 20-year-old was killed and his 19-year-old friend was in serious condition, with second and third degree burns on more than 70 percent of his body as a result of an electric shock of 25,000 volts.",cite_ref-145,cite_ref-145,"['http://hr.n1info.com/a172512/Vijesti/Za-smrt-mladica-u-Rijeci-kriv-selfie.html', 'https://web.archive.org/web/20170110014840/http://hr.n1info.com/a172512/Vijesti/Za-smrt-mladica-u-Rijeci-kriv-selfie.html']"
2017-01-13,India,1,Drowned,"A woman, Ashana Bhandari, fell into the Alaknanda River while she was trying to take a selfie near Koteshwar temple in Rudraprayag district in Uttarakhand, India.",cite_ref-146,cite_ref-146,"['http://www.nyoooz.com/news/dehradun/724644/22yrold-falls-into-ravine-while-taking-selfie-dies', 'https://web.archive.org/web/20170215130604/http://www.nyoooz.com/news/dehradun/724644/22yrold-falls-into-ravine-while-taking-selfie-dies']"
2017-01-14,India,1,Transport,"A second-year college student died while taking a selfie in front of a running train on a railway track in Chandrakona Road, Paschim Medinipur district, West Bengal, India. He was immediately hit by the speeding train and died on the spot.",cite_ref-147,cite_ref-147,"['https://www.youtube.com/watch?v=3XD_SmrjSwo', 'https://web.archive.org/web/20170204004522/https://www.youtube.com/watch?v=3XD_SmrjSwo']"
2017-01-14,India,2,Transport,"Two teenagers were crushed under a train while posing between two railway tracks at Anand Vihar, east Delhi. They had decided to go to the Anand Vihar railway lines to click ""daring selfies"" for their social media profiles.",cite_ref-148,cite_ref-148,"['http://timesofindia.indiatimes.com/city/delhi/train-crushes-2-boys-clicking-selfies-in-delhi/articleshow/56606607.cms', 'https://web.archive.org/web/20170120170528/http://timesofindia.indiatimes.com/city/delhi/train-crushes-2-boys-clicking-selfies-in-delhi/articleshow/56606607.cms']"
2017-01-25,India,1,Transport,"A 22-year-old man died while attempting to take a selfie on the railway tracks near Dhuri Lines, Ludhiana, Punjab, India. A passenger train hit him while he was taking selfies.",cite_ref-149,cite_ref-149,"['http://timesofindia.indiatimes.com/city/ludhiana/22-year-old-crushed-under-train-while-taking-selfie/articleshow/56827503.cms', 'https://web.archive.org/web/20170205113143/http://timesofindia.indiatimes.com/city/ludhiana/22-year-old-crushed-under-train-while-taking-selfie/articleshow/56827503.cms']"
2017-02-05,India,1,Fall,"A 22-year-old college student died after falling into a 50-metre-deep ravine while taking a selfie near Kolukhet on Dehradun-Mussoorie road in Uttarakhand, India.",cite_ref-150,cite_ref-150,"['http://timesofindia.indiatimes.com/city/dehradun/22-yr-old-falls-into-ravine-while-taking-selfie-dies/articleshow/56986258.cms', 'https://web.archive.org/web/20170206141833/http://timesofindia.indiatimes.com/city/dehradun/22-yr-old-falls-into-ravine-while-taking-selfie-dies/articleshow/56986258.cms']"
2017-02-09,New Zealand,1,Drowned,"Four women were taking selfies on a rock in a river in New Zealand, ignoring a warning siren signalling a dam was about to be opened. One of the women, a 21-year-old university student, was swept to her death by the dam surge.",cite_ref-151,cite_ref-151,"['https://www.independent.co.uk/news/world/australasia/student-swept-to-her-death-by-fast-flowing-dam-water-moments-after-posing-for-selfies-in-new-zealand-a7570841.html', '/wiki/The_Independent', 'https://web.archive.org/web/20170215023954/http://www.independent.co.uk/news/world/australasia/student-swept-to-her-death-by-fast-flowing-dam-water-moments-after-posing-for-selfies-in-new-zealand-a7570841.html']"
2017-02-09,New Zealand,1,Drowned,"Four women were taking selfies on a rock in a river in New Zealand, ignoring a warning siren signalling a dam was about to be opened. One of the women, a 21-year-old university student, was swept to her death by the dam surge.",cite_ref-152,cite_ref-152,"['http://www.thetimes.co.uk/article/selfie-student-swept-to-death-by-dam-torrent-rn8vf58ff', '/wiki/The_Times', 'https://web.archive.org/web/20170215022444/http://www.thetimes.co.uk/article/selfie-student-swept-to-death-by-dam-torrent-rn8vf58ff']"
2017-03-25,United States,1,Drowned,"A 14-year-old girl was standing on a log with friends at a beach in Bandon, Oregon, to pose for photos, possibly including selfies. She fell off and was pinned underwater by the log due to the receding tide. According to the girl's mother, when this occurred it was not a selfie; rather her picture was being taken by a friend.",cite_ref-153,cite_ref-153,"['https://nypost.com/2017/03/27/teen-cheerleader-dies-taking-selfies-in-freak-beach-accident/', 'https://web.archive.org/web/20170730161149/http://nypost.com/2017/03/27/teen-cheerleader-dies-taking-selfies-in-freak-beach-accident/']"
2017-03-25,United States,1,Drowned,"A 14-year-old girl was standing on a log with friends at a beach in Bandon, Oregon, to pose for photos, possibly including selfies. She fell off and was pinned underwater by the log due to the receding tide. According to the girl's mother, when this occurred it was not a selfie; rather her picture was being taken by a friend.",cite_ref-154,cite_ref-154,"['http://theworldlink.com/bandon/news/eugene-girl-dies-after-being-trapped-by-log-in-surf/article_51a82a68-5831-5530-9b8a-38f8a15eb667.html', 'https://web.archive.org/web/20170906090804/http://theworldlink.com/bandon/news/eugene-girl-dies-after-being-trapped-by-log-in-surf/article_51a82a68-5831-5530-9b8a-38f8a15eb667.html']"
2017-03-25,Mexico,2,Transport,"In the city of Chínipas de Almada, Chihuahua, Mexico, two girls aged 17 and 18 went to see horse races at a track next to an airport runway. They decided to get on top of their pickup's roof, and started taking selfies as a plane was landing. The plane's wing fatally injured both girls. This would later earn them a Darwin Award.",cite_ref-155,cite_ref-155,"['http://www.proceso.com.mx/479668/una-avioneta-mata-a-dos-jovencitas-se-tomaban-fotos-en-una-pista-aterrizaje', 'https://web.archive.org/web/20170329173125/http://www.proceso.com.mx/479668/una-avioneta-mata-a-dos-jovencitas-se-tomaban-fotos-en-una-pista-aterrizaje']"
2017-03-25,Mexico,2,Transport,"In the city of Chínipas de Almada, Chihuahua, Mexico, two girls aged 17 and 18 went to see horse races at a track next to an airport runway. They decided to get on top of their pickup's roof, and started taking selfies as a plane was landing. The plane's wing fatally injured both girls. This would later earn them a Darwin Award.",cite_ref-156,cite_ref-156,"['http://www.darwinawards.com/darwin/darwin2017-03.html', 'https://web.archive.org/web/20171120181339/http://darwinawards.com/darwin/darwin2017-03.html']"
2017-04-13,India,5,Transport,"Police said Taraknath Makal was travelling by train with four friends – all aged between 25 and 30 years – when he reportedly leaned out of the door to take a selfie. However, he lost his footing and fell off the train. Makal's companions jumped out to save him, but ended up getting mowed down by another train coming from the opposite direction. While the four friends – Sumit Kumar, Sanjiv Polley, Kajal Saha and Chandan Polley – lost their lives, Makal later died in hospital. The incident occurred between Liluah and Belur stations, in the vicinity of Howrah, India.",cite_ref-157,cite_ref-157,"['http://www.hindustantimes.com/kolkata/selfie-quest-snuffs-out-four-lives-on-railway-track-near-howrah/story-gs0iJKw80dcQLulM6FtySJ.html', '/wiki/Hindustan_Times', 'https://web.archive.org/web/20170430215615/http://www.hindustantimes.com/kolkata/selfie-quest-snuffs-out-four-lives-on-railway-track-near-howrah/story-gs0iJKw80dcQLulM6FtySJ.html']"
2017-04-30,Germany,1,Transport,"A Scottish man was knocked down and killed after trying to take a selfie on a German motorway. He was with two friends when he was hit by a car on the A24 Autobahn in Gudow, near Hamburg. Witnesses reported seeing the three men taking ""cell phone pictures of themselves"".",cite_ref-158,cite_ref-158,"['https://www.bbc.com/news/uk-scotland-39772539', '/wiki/BBC_News', 'https://web.archive.org/web/20170502024615/http://www.bbc.com/news/uk-scotland-39772539']"
2017-05-08,India,1,Drowned,A 21-year-old engineering student slipped from a rock and drowned near Bandra Fort in Mumbai after trying to take a selfie with her mother and sister.,cite_ref-159,cite_ref-159,"['https://www.hindustantimes.com/mumbai-news/despite-dad-s-warning-danger-sign-21-yr-old-goes-to-take-selfie-at-bandra-bandstand-drowns/story-I4sSxOD5N37K27X0QeqDZN.html', 'https://web.archive.org/web/20190425065149/https://www.hindustantimes.com/mumbai-news/despite-dad-s-warning-danger-sign-21-yr-old-goes-to-take-selfie-at-bandra-bandstand-drowns/story-I4sSxOD5N37K27X0QeqDZN.html']"
2017-05-24,India,2,Drowned,"Two youths 21 and 22 years old from Hooghly district, India, drowned in a fish pond while taking a selfie as they did not know how to swim. They were taking selfies in waist-deep water but suddenly, the duo slipped from the bank and went underwater. The locals first failed to find their bodies. Later, divers from Kolkata recovered both the bodies from the pond.",cite_ref-160,cite_ref-160,"['http://timesofindia.indiatimes.com/city/kolkata/selfie-in-pond-kills-two-cops-blame-undercurrent/articleshow/58833388.cms', 'https://web.archive.org/web/20170525024626/http://timesofindia.indiatimes.com/city/kolkata/selfie-in-pond-kills-two-cops-blame-undercurrent/articleshow/58833388.cms']"
2017-05-30,India,2,Transport,"At Alwal Railway station near Secunderabad, India, a man died while another lost his hand when the duo was run over by a moving train while taking selfies.",cite_ref-161,cite_ref-161,"['http://timesofindia.indiatimes.com/city/hyderabad/man-crushed-to-death-while-attempting-selfie-before-moving-train/articleshow/58909101.cms', 'https://web.archive.org/web/20170531060233/http://timesofindia.indiatimes.com/city/hyderabad/man-crushed-to-death-while-attempting-selfie-before-moving-train/articleshow/58909101.cms']"
2017-06-07,India,1,Animal,A man in Dhenkanal district was seriously injured by a wild elephant when he tried to take a selfie with the animal.,cite_ref-162,cite_ref-162,"['https://www.hindustantimes.com/india-news/odisha-man-injured-after-attempt-to-take-selfie-with-wild-elephant-goes-wrong/story-xcZQsUMvP82CGsWrhot9gJ.html', 'https://web.archive.org/web/20180505205716/https://www.hindustantimes.com/india-news/odisha-man-injured-after-attempt-to-take-selfie-with-wild-elephant-goes-wrong/story-xcZQsUMvP82CGsWrhot9gJ.html']"
2017-06-11,Sri Lanka,2,Transport,"Two youths from same family in Sri Lanka were killed when they were hit by a train while they were taking a selfie standing on the rail track. According to the police, the two brothers, aged 25 and 12, were standing on the coastal train track between the Bambalapitiya and Kollupitiya stations and attempting to take a selfie when they were hit by  Aluthgama bound express train from Maradana to Galle.",cite_ref-163,cite_ref-163,"['http://www.dailymirror.lk/article/Two-brothers-die-while-taking-selfie-on-railway-track-130640.html', 'https://web.archive.org/web/20170614051435/http://www.dailymirror.lk/article/Two-brothers-die-while-taking-selfie-on-railway-track-130640.html']"
2017-06-11,Russia,4,Transport,"Four children aged 10 to 13 were hit by a train while trying to take a selfie on a railway line in Nadezhdinsky District of Primorsky Krai, 43 km northwest of Vladivostok, Russia. Three were killed and one survived with injuries.",cite_ref-164,cite_ref-164,"['http://chelorg.com/2017/06/11/killed-in-primorye-the-kids-wanted-to-make-selfi-on-the-background-of-the-train/', 'https://web.archive.org/web/20170823044559/http://chelorg.com/2017/06/11/killed-in-primorye-the-kids-wanted-to-make-selfi-on-the-background-of-the-train/']"
2017-06-11,Russia,4,Transport,"Four children aged 10 to 13 were hit by a train while trying to take a selfie on a railway line in Nadezhdinsky District of Primorsky Krai, 43 km northwest of Vladivostok, Russia. Three were killed and one survived with injuries.",cite_ref-165,cite_ref-165,"['http://siberiantimes.com/other/others/news/selfie-horror-on-trans-siberian-rail-line-as-three-children-killed-by-freight-train/', 'https://web.archive.org/web/20170625153223/http://siberiantimes.com/other/others/news/selfie-horror-on-trans-siberian-rail-line-as-three-children-killed-by-freight-train/']"
2017-06-13,Sri Lanka,2,Transport,"A 24-year-old groom was killed and his bride seriously injured when the newly-wed couple tried to take a selfie on the railway track at Kahawa, in the Southern Province, Sri Lanka. According to eyewitnesses, the couple had ignored warning signals given by the people in the area saying that the train was coming.",cite_ref-166,cite_ref-166,"['http://www.dailymirror.lk/article/Another-selfie-tragedy-Groom-killed-bride-injured-130762.html', 'https://web.archive.org/web/20170616152801/http://www.dailymirror.lk/article/Another-selfie-tragedy-Groom-killed-bride-injured-130762.html']"
2017-06-22,United Kingdom,1,Fall,A 23-year-old woman from South Korea fell from Seaford Head while jumping in the air to pose for a photo.,cite_ref-167,cite_ref-167,"['https://www.bbc.co.uk/news/uk-england-sussex-41598003', 'https://web.archive.org/web/20180219024032/http://www.bbc.co.uk/news/uk-england-sussex-41598003']"
2017-06-27,India,1,Drowned,A 17-year-old girl drowned in Mumbai when taking selfies with her friends. She was swept away by a strong wave.,cite_ref-168,cite_ref-168,"['https://mumbaimirror.indiatimes.com/mumbai/crime/17-yr-old-drowns-off-marine-drive-trying-to-take-a-selfie/articleshow/59360752.cms', 'https://web.archive.org/web/20190103215843/https://mumbaimirror.indiatimes.com/mumbai/crime/17-yr-old-drowns-off-marine-drive-trying-to-take-a-selfie/articleshow/59360752.cms', '/wiki/Category:CS1_maint:_numeric_names:_authors_list']"
2017-07-01,Nigeria,2,Drowned,"Four undergraduate students of the Federal University of Technology, Akure, Nigeria, were taking selfies in a canoe while boating on a campus pond. The canoe capsized. Two students who could swim barely made it to safety while two others drowned.",cite_ref-169,cite_ref-169,"['http://saharareporters.com/2017/07/02/selfie-leads-tragic-death-two-futa-students', 'https://web.archive.org/web/20170705034312/http://saharareporters.com/2017/07/02/selfie-leads-tragic-death-two-futa-students']"
2017-07-10,India,8,Drowned,The boat capsized in Vena reservoir near Nagpur when a group of friends were taking selfie and broadcasting on Facebook live.,cite_ref-170,cite_ref-170,"['https://www.thehindu.com/news/states/selfie-tragedy-8-men-on-picnic-drown-in-ven-reservoir-near-nagpur/article19253526.ece', '/wiki/ISSN_(identifier)', '//www.worldcat.org/issn/0971-751X', 'https://web.archive.org/web/20200128111548/https://www.thehindu.com/news/states/selfie-tragedy-8-men-on-picnic-drown-in-ven-reservoir-near-nagpur/article19253526.ece']"
2017-07-16,India,48,Fire,"48 people were injured when standing too close to a burning bakery in Chennai, India, to take selfies. They repeatedly ignored warnings advising them to move away from the blaze.",cite_ref-171,cite_ref-171,"['http://indiatoday.intoday.in/story/chennai-bakery-fire-onlookers-injured-selfie-craze/1/1003666.html', 'https://web.archive.org/web/20170723223858/http://indiatoday.intoday.in/story/chennai-bakery-fire-onlookers-injured-selfie-craze/1/1003666.html']"
2017-07-25,India,1,Animal,"A 30-year-old man sneaked into the Bannerghatta Biological Park near Bangalore, India, with friends to take selfies with an elephant that later trampled him to death.",cite_ref-172,cite_ref-172,"['http://www.huffingtonpost.in/2017/07/27/man-crushed-to-death-while-taking-selfie-with-elephant_a_23051194', 'https://web.archive.org/web/20170727171853/http://www.huffingtonpost.in/2017/07/27/man-crushed-to-death-while-taking-selfie-with-elephant_a_23051194/']"
2017-07-26,Hungary,1,Fall,A local girl fell off a bridge in Budapest suffering serious injuries while taking a selfie.,cite_ref-173,cite_ref-173,"['https://zoom.hu/2017/07/26/szelfizes-kozben-zuhant-le-egy-lany-a-margit-hidrol', 'https://web.archive.org/web/20170729175247/https://zoom.hu/2017/07/26/szelfizes-kozben-zuhant-le-egy-lany-a-margit-hidrol']"
2017-07-26,India,1,Drowned,"An 18-year-old was swept into the sea and drowned while he was taking a selfie at a beach in Mumbai, India, during high tide.",cite_ref-174,cite_ref-174,"['http://www.india.com/news/india/mumbai-18-year-old-washed-away-by-high-tide-while-taking-selfie-2357912/', 'https://web.archive.org/web/20170728065420/http://www.india.com/news/india/mumbai-18-year-old-washed-away-by-high-tide-while-taking-selfie-2357912/']"
2017-08-11,India,1,Electrocution,"A 17-year-old boy climbed on top of a train in Ambarnath, India, to take a selfie but came into contact with a live wire, suffering severe injuries from the resulting electric shock.",cite_ref-175,cite_ref-175,"['http://timesofindia.indiatimes.com/city/thane/teen-taking-selfie-on-train-electrocuted-battling-for-life/articleshow/60025879.cms', 'https://web.archive.org/web/20170916203205/http://timesofindia.indiatimes.com/city/thane/teen-taking-selfie-on-train-electrocuted-battling-for-life/articleshow/60025879.cms']"
2017-08-26,India,1,Electrocution,"A 17-year-old boy attempted to take a selfie on top of a train carriage in Tambaram railway station, India. He touched a live wire, suffered severe burns from electric shock and died four days later.",cite_ref-176,cite_ref-176,"['http://www.deccanchronicle.com/nation/current-affairs/310817/chennai-teens-selfie-stunt-on-train-leads-to-death.html', 'https://web.archive.org/web/20170904161748/http://www.deccanchronicle.com/nation/current-affairs/310817/chennai-teens-selfie-stunt-on-train-leads-to-death.html']"
2017-09-02,India,1,Animal,"A youth in Rourkela, Odisha, was trampled to death by a wild elephant while trying to take a selfie with the animal.",cite_ref-177,cite_ref-177,"['https://www.hindustantimes.com/india-news/odisha-youth-tramped-to-death-by-elephant-while-taking-selfie/story-vNp0xH4FPxdrtiLi7VIKSN.html', 'https://web.archive.org/web/20180505013240/https://www.hindustantimes.com/india-news/odisha-youth-tramped-to-death-by-elephant-while-taking-selfie/story-vNp0xH4FPxdrtiLi7VIKSN.html']"
2017-09-12,United Kingdom,1,Transport,"A 41-year-old woman from New Zealand who took a selfie as she rode her bike died after she fell off shortly afterwards, following a night out to celebrate her mum's birthday in London. Graphic designer and mother-of-two was with mum when they rode home from the pub and the accident happened, an inquest into Greenway's was told on Thursday. The 41-year-old had drunk two cocktails and four glasses of wine. But she was not wearing a helmet and may have been riding relaxed and one-handed when she tumbled to the floor, suffering fatal head injuries.",cite_ref-178,cite_ref-178,"['https://www.stuff.co.nz/world/europe/96867039', 'https://web.archive.org/web/20171203170510/https://www.stuff.co.nz/world/europe/96867039']"
2017-09-16,Malaysia,1,Fall,"A 20-year-old man believed to be taking a selfie died after he fell from the 16th floor of a resort hotel in Genting Highlands, Pahang, Malaysia. It is believed that he had climbed a wall on the 16th floor of the hotel's car park to take photographs when he slipped and fell.",cite_ref-179,cite_ref-179,"['https://www.nst.com.my/news/nation/2017/09/280571/man-falls-death-believed-be-taking-selfie-genting-highlands', 'https://web.archive.org/web/20171201042007/https://www.nst.com.my/news/nation/2017/09/280571/man-falls-death-believed-be-taking-selfie-genting-highlands']"
2017-11-12,United Kingdom,1,Fall,A 20-year-old woman from New Zealand died on 14 November after she allegedly attempted to take a selfie near a second-storey window in London. She suffered a serious brain injury as a result of the fall.,cite_ref-180,cite_ref-180,"['https://honey.nine.com.au/2017/11/24/06/45/new-zealand-woman-dies-taking-selfie', 'https://web.archive.org/web/20171124001509/https://honey.nine.com.au/2017/11/24/06/45/new-zealand-woman-dies-taking-selfie']"
2017-12-25,Mexico,1,Fall,"A 20-year-old woman from Aguascalientes (Mexico) died during a selfie session in the Malpaso Dam, a popular spot in the State of Aguascalientes. According to witnesses, she accessed a restricted zone to take the selfie before slipping and falling 15 meters, dying from severe craneoencephalic traumatism.",cite_ref-181,cite_ref-181,"['http://www.eluniversal.com.mx/estados/joven-muere-al-tomarse-selfie-en-presa-malpaso-de-aguascalientes', 'https://web.archive.org/web/20171228232211/http://www.eluniversal.com.mx/estados/joven-muere-al-tomarse-selfie-en-presa-malpaso-de-aguascalientes']"
2018-01-08,Croatia,1,Electrocution,"In Zagreb, Croatia, 14-year-old boy climbed onto the roof of a train cargo wagon where he wanted to take a selfie. He was electrocuted and his body ""burned like a torch."" Firefighters were unable to take action until the train's power was turned off.",cite_ref-182,cite_ref-182,"['http://net.hr/danas/crna-kronika/horor-na-zapadnom-kolodvoru-u-zagrebu-djecak-se-popeo-na-krov-vagona-zbog-selfieja-udarila-ga-struja-nakon-cega-se-zapalio/', 'https://web.archive.org/web/20180109095122/http://net.hr/danas/crna-kronika/horor-na-zapadnom-kolodvoru-u-zagrebu-djecak-se-popeo-na-krov-vagona-zbog-selfieja-udarila-ga-struja-nakon-cega-se-zapalio/']"
2018-01-11,Colombia,1,Fall,"In Gámbita, Santander, Colombia, a 19-year-old girl fell while trying to take a selfie at ""Manto de la Virgen"" falls.",cite_ref-183,cite_ref-183,"['http://www.eltiempo.com/colombia/otras-ciudades/joven-murio-en-santander-cuando-intentaba-tomarse-una-selfie-169936', 'https://web.archive.org/web/20180111165315/http://www.eltiempo.com/colombia/otras-ciudades/joven-murio-en-santander-cuando-intentaba-tomarse-una-selfie-169936']"
2018-02-09,Thailand,2,Transport,"A 24-year-old Thai woman died as a result of her injuries when a train hit her while attempting to take a photo with an outgoing train in the background near Samsen train station in Bangkok's Phaya Thai District. A man, believed to be a colleague of the victim, was knocked unconscious by the train, suffering a head injury and a broken arm.",cite_ref-184,cite_ref-184,"['https://www.telegraph.co.uk/news/2018/02/09/woman-killed-posing-selfie-train-tracks-thailand/', '/wiki/ISSN_(identifier)', '//www.worldcat.org/issn/0307-1235', 'https://web.archive.org/web/20180209134513/http://www.telegraph.co.uk/news/2018/02/09/woman-killed-posing-selfie-train-tracks-thailand/']"
2018-03-11,United States,5,Drowned,"Five passengers aboard a sightseeing helicopter (with doors off) drowned after a passenger allegedly tried to take a 'shoe selfie', leading to the passenger's safety tether getting caught in the emergency fuel shutoff lever. A shoe selfie is when the person's shoes can be seen while looking out of the open doorway of a helicopter.",cite_ref-185,cite_ref-185,"['https://www.nytimes.com/2018/03/26/nyregion/east-river-helicopter-crash-pilot-interview.html', '/wiki/The_New_York_Times', 'https://web.archive.org/web/20181217110703/https://www.nytimes.com/2018/03/26/nyregion/east-river-helicopter-crash-pilot-interview.html']"
2018-04-20,Greece,1,Fall,"In Keratsini, Greece, a 16-year-old boy died after he fell from a height of 60 meters after climbing on a rock to take a selfie at a park.",cite_ref-186,cite_ref-186,"['https://greekcitytimes.com/2018/04/22/16-year-old-dies-taking-a-selfie-at-keratsini-piraeus/', 'https://web.archive.org/web/20201101104101/https://greekcitytimes.com/2018/04/22/16-year-old-dies-taking-a-selfie-at-keratsini-piraeus/']"
2018-04-22,Brazil,3,Fall,"In Castelo do Piauí, Piauí, Brazil, A 22-year-old woman and two girls aged 16 and 15 fell from a height of 10 meters while taking a selfie on a bridge in Piauí, Northeast Brazil, when the platform on the side of the bridge collapsed. They suffered fractures.",cite_ref-187,cite_ref-187,"['https://g1.globo.com/pi/piaui/noticia/tres-jovens-caem-de-ponte-no-piaui-ao-tirar-selfie-e-sofrem-fraturas.ghtml', 'https://web.archive.org/web/20180424000229/https://g1.globo.com/pi/piaui/noticia/tres-jovens-caem-de-ponte-no-piaui-ao-tirar-selfie-e-sofrem-fraturas.ghtml']"
2018-04-30,Brazil,1,Fall,"At Corumbá Lake in Caldas Novas, a 34-year-old man ended up drowning, after falling off a platform in an attempt to take a selfie.",cite_ref-188,cite_ref-188,"['https://www.correiobraziliense.com.br/app/noticia/cidades/2018/05/01/interna_cidadesdf,677565/homem-se-desequilibra-ao-tirar-selfie-cai-em-lago-e-morre-afogado.shtml', 'https://web.archive.org/web/20180622033052/https://www.correiobraziliense.com.br/app/noticia/cidades/2018/05/01/interna_cidadesdf,677565/homem-se-desequilibra-ao-tirar-selfie-cai-em-lago-e-morre-afogado.shtml']"
2018-05-02,India,1,Animal,"In Nabarangpur, Odisha, India, a man tried to take a selfie with a wounded bear and was mauled to death.",cite_ref-189,cite_ref-189,"['https://www.hindustantimes.com/india-news/bear-kills-man-trying-to-click-selfie-with-it-third-such-death-in-odisha/story-FjOuM94Is0DDZiKJoEzWsJ.html', 'https://web.archive.org/web/20180504064022/https://www.hindustantimes.com/india-news/bear-kills-man-trying-to-click-selfie-with-it-third-such-death-in-odisha/story-FjOuM94Is0DDZiKJoEzWsJ.html']"
2018-06-11,Indonesia,1,Fall,"A 46-year-old Chinese tourist died after falling into the sea while taking a selfie on a cliff at Devil's Tears on Nusa Lembongan, an island off the coast of Bali.",cite_ref-190,cite_ref-190,"['http://www.thejakartapost.com/news/2018/06/11/chinese-tourist-dies-after-falling-from-cliff-taking-a-selfie.html', '/wiki/Jakarta_Post', 'https://web.archive.org/web/20180713171740/http://www.thejakartapost.com/news/2018/06/11/chinese-tourist-dies-after-falling-from-cliff-taking-a-selfie.html']"
2018-06-12,Portugal,2,Fall,"On the Praia dos Pescadores, Ericeira, Portugal, an Australian couple fell to their deaths when they tried to take a selfie on a 30-meter-high (98 ft) wall.",cite_ref-191,cite_ref-191,"['https://www.cbsnews.com/news/tourists-fall-to-death-while-taking-selfie-in-portugal/', 'https://web.archive.org/web/20180621115842/https://www.cbsnews.com/news/tourists-fall-to-death-while-taking-selfie-in-portugal/']"
2018-07-22,Australia,1,Fall,"A 19-year-old man from West Haven, Utah, fell at Cape Solander in Kurnell near Sydney, Australia.",cite_ref-192,cite_ref-192,"['https://www.abc.net.au/news/2018-07-24/kurnell-cliff-fall-mormon-missionary-gavin-zimmerman/10029406', 'https://web.archive.org/web/20181002073013/http://www.abc.net.au/news/2018-07-24/kurnell-cliff-fall-mormon-missionary-gavin-zimmerman/10029406']"
2018-07-22,Australia,1,Fall,"A 19-year-old man from West Haven, Utah, fell at Cape Solander in Kurnell near Sydney, Australia.",cite_ref-193,cite_ref-193,"['http://www.maritimeherald.com/2019/he-died-after-falling-off-a-cliff-while-taking-a-selfie-a-year-later-his-parents-share-the-photo/', 'https://web.archive.org/web/20190722181555/http://www.maritimeherald.com/2019/he-died-after-falling-off-a-cliff-while-taking-a-selfie-a-year-later-his-parents-share-the-photo/']"
2018-09-05,United States,1,Fall,An Israeli teen fell to his death while trying to take a selfie at Yosemite National Park.,cite_ref-194,cite_ref-194,"['https://www.sfgate.com/news/article/Teen-visiting-U-S-from-Israel-dies-in-Yosemite-13208407.php', 'https://web.archive.org/web/20180906091656/https://www.sfgate.com/news/article/Teen-visiting-U-S-from-Israel-dies-in-Yosemite-13208407.php']"
2018-09-19,United States,1,Fall,A Californian woman fell to her death while taking selfies on the edge of a 200-foot cliff over Lake Superior at Pictured Rocks National Lakeshore.,cite_ref-195,cite_ref-195,"['https://eu.freep.com/story/news/local/michigan/2018/09/21/pictured-rocks-death-tu-thanh-nguyen/1380009002/', 'https://web.archive.org/web/20201112001921/https://eu.freep.com/story/news/local/michigan/2018/09/21/pictured-rocks-death-tu-thanh-nguyen/1380009002/']"
2018-10-12,Panama,1,Fall,A Portuguese woman fell to her death while taking a selfie on the 27th floor balcony of a Panamanian residential building.,cite_ref-196,cite_ref-196,"['https://www.abc.es/internacional/abci-muere-mujer-portuguesa-panama-tras-caer-piso-27-mientras-hacia-selfie-201810130314_noticia.html', 'https://web.archive.org/web/20181013124506/https://www.abc.es/internacional/abci-muere-mujer-portuguesa-panama-tras-caer-piso-27-mientras-hacia-selfie-201810130314_noticia.html']"
