Date,Country,Injuries/Casualties,Type,Description,Source(s)
2015-02-21,United States,1,Transport,"A man in Kalama, Washington, stepped out onto a railroad track to take a selfie with himself and a woman with a passing train in the background. The man misjudged which track the oncoming train was on and was struck and died at the scene.","[<sup class=""reference"" id=""cite_ref-36""><a href=""#cite_note-36"">[36]</a></sup>]"
2015-03-01,India,7,Drowned,"Seven youths drowned while taking selfies on Mangrul Lake near Kuhi, about 20 km from Nagpur, India. Their boat had tipped over as they were standing up to pose.","[<sup class=""reference"" id=""cite_ref-37""><a href=""#cite_note-37"">[37]</a></sup>, <sup class=""reference"" id=""cite_ref-38""><a href=""#cite_note-38"">[38]</a></sup>]"
2015-04-01,Italy,1,Fall,"A 60-year-old German tourist skiing in the Trentino-Alto Adige region of Italy was reported missing when he failed to pick up his children from ski school. Subsequent investigation found that while skiing alone, he took off his skis and went off-trail to take a selfie next to a cliff, where he slipped and plunged 200 metres to his death.","[<sup class=""reference"" id=""cite_ref-39""><a href=""#cite_note-39"">[39]</a></sup>]"
2015-04-01,Serbia,1,Transport,"A 22-year-old man was trying to recreate a scene from his favorite movie Barking at the Stars by running in front of a train, beating it and being hailed a hero. As he ran in front of the train, he tried to take a selfie to document the scene. He was killed instantly when the express train hit him at full speed in the village of Laćarak near the northern Serbian town of Sremska Mitrovica.","[<sup class=""reference"" id=""cite_ref-40""><a href=""#cite_note-40"">[40]</a></sup>]"
2015-05-01,Romania,2,Electrocution,"An 18-year-old woman died when she attempted to take the ""ultimate selfie"", posing with a friend on top of a train in the north-eastern Romanian city of Iași when her leg touched a live wire above which electrocuted her with 27,000 volts. A 17-year-old friend who accompanied her was hospitalised.","[<sup class=""reference"" id=""cite_ref-41""><a href=""#cite_note-41"">[41]</a></sup>]"
2015-05-01,Russia,1,Electrocution,A teenage boy climbed on a railway bridge in Ryazan Oblast of Russia to take a selfie and died when he came in contact with live wires.,"[<sup class=""reference"" id=""cite_ref-42""><a href=""#cite_note-42"">[42]</a></sup>]"
2015-05-01,Russia,1,Firearm,"A 21-year-old woman asked a security guard at her office to give her a 9-millimeter rubber-bullet pistol for taking a selfie and accidentally shot herself in the head, sustaining heavy injuries.","[<sup class=""noprint Inline-Template Template-Fact"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Citation_needed"" title=""Wikipedia:Citation needed""><span title=""This claim needs references to reliable sources. (May 2021)"">citation needed</span></a></i>]</sup>]"
2015-05-01,Indonesia,1,Fall,A 21-year-old man from Yogyakarta fell into the crater of Mount Merapi while attempting to take a selfie and died.,"[<sup class=""reference"" id=""cite_ref-43""><a href=""#cite_note-43"">[43]</a></sup>, <sup class=""reference"" id=""cite_ref-44""><a href=""#cite_note-44"">[44]</a></sup>]"
2015-05-01,Indonesia,1,Fall,"A Singaporean tourist died after falling into the sea while taking a selfie on a cliff in Nusa Lembongan, an island off the coast of Bali.","[<sup class=""reference"" id=""cite_ref-45""><a href=""#cite_note-45"">[45]</a></sup>]"
2015-06-01,Pakistan,1,Firearm,"A 15-year-old boy in Pakistan was taking selfies with a toy gun when police opened fire on him, killing him.","[<sup class=""reference"" id=""cite_ref-46""><a href=""#cite_note-46"">[46]</a></sup>]"
2015-06-01,Russia,2,Electrocution,"Two teenage girls were electric shocked, but survived, at a railroad yard in the city of Taganrog in southern Russia. They tried to climb on the tank car of an old freight train that was standing at the platform in order to take a selfie, but did not realize it was still in use and on a live track.","[<sup class=""reference"" id=""cite_ref-47""><a href=""#cite_note-47"">[47]</a></sup>]"
2015-06-01,Croatia,1,Fall,A 54-year-old Slovak tourist visiting Plitvice Lakes National Park in Croatia fell to her death from a rock while taking a selfie.,"[<sup class=""reference"" id=""cite_ref-dnpk_48-0""><a href=""#cite_note-dnpk-48"">[48]</a></sup>, <sup class=""reference"" id=""cite_ref-ctvnews_49-0""><a href=""#cite_note-ctvnews-49"">[49]</a></sup>]"
2015-07-01,Russia,1,Fall,A 21-year-old university graduate died after falling from a bridge while she was trying to take a memorable selfie next to the Moscow International Business Center.,"[<sup class=""reference"" id=""cite_ref-50""><a href=""#cite_note-50"">[50]</a></sup>]"
2015-07-01,United States,1,Animal,A man from San Diego was hospitalised for five days following an attempt to take a selfie with a rattlesnake which then bit him.,"[<sup class=""reference"" id=""cite_ref-51""><a href=""#cite_note-51"">[51]</a></sup>]"
2015-07-01,United States,1,Animal,A woman in Yellowstone National Park was gored by an American bison while taking a selfie. She was treated for injuries.,"[<sup class=""reference"" id=""cite_ref-52""><a href=""#cite_note-52"">[52]</a></sup>]"
2015-07-01,United Kingdom,1,Electrocution,A man was fatally struck by lightning at Brecon Beacons supposedly due to the selfie stick he had attracting the bolt.,"[<sup class=""reference"" id=""cite_ref-53""><a href=""#cite_note-53"">[53]</a></sup>]"
2015-07-01,Philippines,1,Transport,"A woman vacationing in Pagudpud, Ilocos Norte, asked her family to stop their car so she could take a selfie by the side of the road with a scenic view. She was hit by a speeding motorcycle while taking the picture. She was taken to hospital and died. The driver of the motorcycle was a minor.","[<sup class=""reference"" id=""cite_ref-54""><a href=""#cite_note-54"">[54]</a></sup>]"
2015-08-09,Spain,1,Animal,A man was gored to death in the annual bull-running festival in the town of Villaseca de la Sagra while trying to take a selfie with a bull.,"[<sup class=""reference"" id=""cite_ref-55""><a href=""#cite_note-55"">[55]</a></sup>, <sup class=""reference"" id=""cite_ref-56""><a href=""#cite_note-56"">[56]</a></sup>]"
2015-08-01,China,1,Fall,"A man was discovered with his phone and selfie stick at the bottom of a 100-foot cliff at Long Men waterfall in Zhejiang. Based on photographic evidence on his phone, local police speculated that he lost his footing while taking a selfie and fell to his death. It was not known when he died or how long his body had been there.",[]
2015-08-01,Russia,1,Electrocution,A 14-year-old girl died after being shocked with a live wire when trying to take a selfie on a train.,"[<sup class=""reference"" id=""cite_ref-57""><a href=""#cite_note-57"">[57]</a></sup>]"
2015-09-01,United States,1,Firearm,A 19-year-old from Houston died after trying to take an Instagram selfie while holding a loaded gun to his head. He accidentally fired the gun and shot himself in the throat.,"[<sup class=""reference"" id=""cite_ref-58""><a href=""#cite_note-58"">[58]</a></sup>]"
2015-09-01,India,1,Fall,"A Japanese tourist fell down a staircase to his death while taking a selfie at the Taj Mahal, Agra, India.","[<sup class=""reference"" id=""cite_ref-59""><a href=""#cite_note-59"">[59]</a></sup>]"
2015-09-01,Russia,1,Fall,"A 17-year-old student, Andrey Retrovsky from Vologda, Russia, fell to his death attempting to take a selfie while hanging from a rope from a nine-story building. The rope snapped. Retrovsky was known for taking 'extreme' selfies and posting them to his Instagram account ""drewsssik"".","[<sup class=""reference"" id=""cite_ref-60""><a href=""#cite_note-60"">[60]</a></sup>, <sup class=""reference"" id=""cite_ref-61""><a href=""#cite_note-61"">[61]</a></sup>]"
2015-09-01,India,1,Fall,"An engineering student died while taking selfies with friends at Kolli Hills, Namakkal, Tamil Nadu, when the rock on which he was standing cracked and gave way, plunging him 60 feet and causing his death from head injuries.","[<sup class=""reference"" id=""cite_ref-62""><a href=""#cite_note-62"">[62]</a></sup>, <sup class=""reference"" id=""cite_ref-63""><a href=""#cite_note-63"">[63]</a></sup>]"
2015-10-01,Spain,1,Electrocution,A 14-year-old from Barcelona was hospitalised with electric shock after trying to take a selfie on the roof of a train car.,"[<sup class=""reference"" id=""cite_ref-64""><a href=""#cite_note-64"">[64]</a></sup>]"
2015-10-01,Chile,1,Other,"A 68-year-old Belgian woman was visiting the El Tatio geyser field located within the Andes Mountains of northern Chile. While attempting to take a selfie in front of an active geyser she stepped backwards and fell into the scalding hot water. Her husband pulled her out, but she died in hospital days later from burns over 85 percent of her body.","[<sup class=""reference"" id=""cite_ref-65""><a href=""#cite_note-65"">[65]</a></sup>]"
2015-11-01,India,2,Drowned,"Two engineering students of Wadhwan, Gujarat, drowned in Narmada Canal after slipping down the bank while taking selfies.","[<sup class=""reference"" id=""cite_ref-66""><a href=""#cite_note-66"">[66]</a></sup>]"
2015-11-01,India,2,Transport,"A first-year student of College Sourav Dey died and another was critically injured in the Kalyani area in Nadia district of West Bengal, India, as they were run over by a train while they were taking selfies.","[<sup class=""reference"" id=""cite_ref-67""><a href=""#cite_note-67"">[67]</a></sup>]"
2015-11-01,India,1,Electrocution,"A 14-year-old boy, who was trying to take a selfie atop a stationary train wagon at Nahur station yard in Mumbai, was electrocuted and died a few hours later. He accidentally came in contact with a 25,000-volt overhead wire and suffered 80 percent burns.","[<sup class=""reference"" id=""cite_ref-68""><a href=""#cite_note-68"">[68]</a></sup>, <sup class=""reference"" id=""cite_ref-intoday.in_69-0""><a href=""#cite_note-intoday.in-69"">[69]</a></sup>]"
2015-12-01,Pakistan,1,Transport,"A 22-year-old man, the son of a railway employee of Rawalpindi, Pakistan, died while attempting to take a selfie while standing on the track in front of a moving train.","[<sup class=""reference"" id=""cite_ref-70""><a href=""#cite_note-70"">[70]</a></sup>]"
2015-12-01,Turkey,2,Transport,"Five teenagers lay down in the middle of the road near an airport to take a selfie with a plane landing in the background. It was at night, and a truck driver did not see them and accidentally ran them over, killing two of them. The teenagers had been drinking.","[<sup class=""reference"" id=""cite_ref-71""><a href=""#cite_note-71"">[71]</a></sup>]"
2016-01-01,India,1,Transport,"A 16-year-old boy was killed by a passenger train while taking a selfie with an approaching train in Chennai, India. The teen reportedly walked in front of the train and waited for it to come closer before taking the photo.","[<sup class=""reference"" id=""cite_ref-72""><a href=""#cite_note-72"">[72]</a></sup>, <sup class=""reference"" id=""cite_ref-73""><a href=""#cite_note-73"">[73]</a></sup>]"
2016-01-05,Philippines,1,Fall,"A 19-year-old student fell to her death from the top of a 20-story apartment building in Manila, Philippines, while taking a selfie. According to her classmate, ""she was not satisfied with the photos they had taken so she decided to climb up the parapet wall"".","[<sup class=""reference"" id=""cite_ref-74""><a href=""#cite_note-74"">[74]</a></sup>]"
2016-01-07,Brazil,1,Fall,"A 27-year-old man fell into the sea and died after an attempt to take a selfie on the rocks of Cantão do Indaiá in Bertioga, on the coast of São Paulo.","[<sup class=""reference"" id=""cite_ref-75""><a href=""#cite_note-75"">[75]</a></sup>]"
2016-01-09,India,1,Fall,"A 20-year-old fell to his death while taking a selfie from the top of the Reasi Fort at Jammu and Kashmir, India.","[<sup class=""reference"" id=""cite_ref-76""><a href=""#cite_note-76"">[76]</a></sup>]"
2016-01-09,India,2,Drowned,"A 20-year-old college student drowned at Bandstand Promenade in Bandra, Mumbai. She is believed to have been swept away in the high tide. According to the woman's friends, they were taking selfies, standing on the rock, close to the Bandra-Worli Sea Link (BWSL). ""The girls were standing 50 metres away from the shore when the water suddenly rose. They did not notice water rising and remained on the rock taking pictures (selfies). One of the girls was pulled into the water due to high tide."" A man also drowned after going into the water to rescue the girl.","[<sup class=""reference"" id=""cite_ref-77""><a href=""#cite_note-77"">[77]</a></sup>, <sup class=""reference"" id=""cite_ref-78""><a href=""#cite_note-78"">[78]</a></sup>, <sup class=""reference"" id=""cite_ref-79""><a href=""#cite_note-79"">[79]</a></sup>]"
2016-02-12,India,3,Drowned,"Three students of Mandya Institute of Medical Sciences drowned after falling in an irrigation canal in Hulivana village, 180 km from Bengaluru, India, reportedly while they were taking selfies.","[<sup class=""reference"" id=""cite_ref-80""><a href=""#cite_note-80"">[80]</a></sup>]"
2016-02-13,India,2,Drowned,"An 18-year-old college student drowned after falling off of the Waldevi Dam in Nashik, India, while taking a selfie. His 18-year-old friend jumped into the water in an attempt to save him, but also drowned.","[<sup class=""reference"" id=""cite_ref-81""><a href=""#cite_note-81"">[81]</a></sup>, <sup class=""reference"" id=""cite_ref-82""><a href=""#cite_note-82"">[82]</a></sup>]"
2016-02-22,India,5,Fall,"Five people in Anjuna, Goa, fell off a cliff and were injured after a gate they were leaning on gave way during a group selfie.","[<sup class=""reference"" id=""cite_ref-83""><a href=""#cite_note-83"">[83]</a></sup>]"
2016-02-29,Nepal,1,Drowned,A Nepalese woman drowned in the Narayani River. She dived into the river to save her friend who slipped into the water while the two were taking selfies together near the bank. The woman who originally fell was rescued but her friend who tried to save her died.,"[<sup class=""reference"" id=""cite_ref-84""><a href=""#cite_note-84"">[84]</a></sup>]"
2016-03-02,United States,1,Firearm,"A 43-year-old man in Concrete, Washington, accidentally shot himself in the face with a gun and died while taking a selfie. He thought the gun was unloaded.","[<sup class=""reference"" id=""cite_ref-85""><a href=""#cite_note-85"">[85]</a></sup>]"
2016-03-05,Australia,1,Firearm,"A 22-year-old from Melbourne, Australia, was shot in the face with a sawn-off shotgun while posing for a selfie with the gun. The gun was fired by a friend who was holding it. The shooter fled the scene and was charged with murder.","[<sup class=""reference"" id=""cite_ref-86""><a href=""#cite_note-86"">[86]</a></sup>]"
