Date,Country,Injuries/Casualties,Type,Description,Source(s)
2016-07-27,India,1,Drowned,"A 24-year-old woman was swept away to her death by the swollen waters of Baandal river near Maldevta area on the outskirts of Dehradun, India. She was taking a selfie at the time of the incident, bringing the toll of selfie deaths in Dehradun to four for the year.","[<sup class=""reference"" id=""cite_ref-116""><a href=""#cite_note-116"">[116]</a></sup>]"
2016-07-30,India,1,Drowned,"A 20-year-old national-level athlete slipped and fell into a pond while taking a selfie near a harvesting plant at the Sports Authority of India (SAI) centre in Bhopal. She did not know how to swim. Her two companions, who also were unable to swim, ran for help. She was taken to a hospital where she was pronounced dead.","[<sup class=""reference"" id=""cite_ref-117""><a href=""#cite_note-117"">[117]</a></sup>, <sup class=""reference"" id=""cite_ref-118""><a href=""#cite_note-118"">[118]</a></sup>]"
2016-07-31,India,2,Fall,"A 24-year-old Indian man, a well-known local-level wrestler from Bhadohi, fell to his death while taking a selfie near the Vindham waterfall in Uttar Pradesh. A friend who dived into the water to rescue him was taken to the hospital in critical condition.","[<sup class=""reference"" id=""cite_ref-119""><a href=""#cite_note-119"">[119]</a></sup>]"
2016-08-02,United States,1,Firearm,A 22-year-old Florida woman accidentally shot her phone while taking a picture of herself for Snapchat while posing with a .40 caliber pistol. She suffered minor injuries to her hand. The phone was shattered.,"[<sup class=""reference"" id=""cite_ref-120""><a href=""#cite_note-120"">[120]</a></sup>]"
2016-08-03,India,1,Fall,"A 22-year-old engineering student from Andhra Pradesh was vacationing with six friends in Tamil Nadu state, South India. While taking a selfie standing on the edge of a 2,000-foot-deep gorge at Vilpatti village on upper Kodaikanal hill, he slipped and plunged to his death.","[<sup class=""reference"" id=""cite_ref-121""><a href=""#cite_note-121"">[121]</a></sup>]"
2016-08-07,India,1,Fall,"A 27-year-old lawyer from India was visiting Mandoshi ghat, near  Bhimashanjar. She and her husband were sitting on boulders that form a safety barrier from a 100-foot gorge below. As she positioned herself for a selfie, one of the boulders came loose in wet earth, and she slipped over the edge. Her husband attempted to arrest her fall but was unable to hold on. She sustained head injuries and was taken to hospital by her husband, where she was pronounced dead.","[<sup class=""reference"" id=""cite_ref-122""><a href=""#cite_note-122"">[122]</a></sup>]"
2016-08-09,Pakistan,3,Drowned,"An 11-year-old Pakistani girl drowned while attempting to take a selfie at the Kunhar River, which flows through Khyber Pakhtunkhwa province in Pakistan. The girl's mother jumped into the fast-moving river to save her but she was also swept away and drowned. On seeing both his daughter and wife in trouble the father jumped in; he also drowned. The dead bodies of the mother and her daughter were found; the father's body was missing. The six-year-old son of the family was a witness of the tragedy.","[<sup class=""reference"" id=""cite_ref-123""><a href=""#cite_note-123"">[123]</a></sup>]"
2016-08-12,India,1,Fall,"A 22-year-old student of Kherva Ganpat University, Mehsana in Gujarat, India, climbed a glass dome on the third-floor terrace of a building to take a selfie. The fragile glass collapsed and she plunged 70 feet to the ground floor and was killed. Selfies were subsequently banned at the school in ""risky places"".","[<sup class=""reference"" id=""cite_ref-124""><a href=""#cite_note-124"">[124]</a></sup>]"
2016-08-12,India,4,Drowned,Four teenagers aged 15–19 took selfies in the ocean surf at Maharashtra during a storm. They were swept away by a large wave (their bodies were not recovered).,"[<sup class=""reference"" id=""cite_ref-125""><a href=""#cite_note-125"">[125]</a></sup>]"
2016-08-15,India,1,Fall,"A class 12 student residing at Peelamedu, India, was sightseeing with friends and noticed a huge well dug in a field. While leaning over the edge of the well to take a selfie to show its depth, he slipped and fell in. The well is 120 feet deep with a water level of 60 feet. He died in the well before he could be rescued.","[<sup class=""reference"" id=""cite_ref-126""><a href=""#cite_note-126"">[126]</a></sup>]"
2016-08-16,India,1,Firearm,A 35-year-old Indian woman from Muzaffarnagar was taking a selfie with a gun when it fired. She sustained serious injuries.,"[<sup class=""reference"" id=""cite_ref-127""><a href=""#cite_note-127"">[127]</a></sup>]"
2016-08-20,Pakistan,2,Drowned,"A Pakistani man drowned while attempting to take a selfie at the Kunhar River that flows through Khyber Pakhtunkhwa province in Pakistan. His cousin jumped in to save him, but she was also swept away and drowned. It was the second selfie-related death incident on the Kunhar River in August.","[<sup class=""reference"" id=""cite_ref-128""><a href=""#cite_note-128"">[128]</a></sup>]"
2016-08-21,Pakistan,3,Other,"Three Pakistani women were killed while taking selfies near a road at Lake Saiful Muluk. They were inside a melt hole, or cave, at the front edge of a receding glacier when the roof collapsed and they were crushed.","[<sup class=""reference"" id=""cite_ref-129""><a href=""#cite_note-129"">[129]</a></sup>]"
2016-09-17,India,5,Drowned,"Six young women (engineering students from Vaagdevi college of Engineering, Bollikunta) were standing on a rock at the edge of a reservoir in Warangal Urban district of Telangana, India, taking selfies. One student slipped and fell into the lake, and one after another the rest went in to save her. One student survived, five drowned.","[<sup class=""reference"" id=""cite_ref-130""><a href=""#cite_note-130"">[130]</a></sup>, <sup class=""reference"" id=""cite_ref-131""><a href=""#cite_note-131"">[131]</a></sup>]"
2016-09-18,Kenya,1,Animal,"A 66-year-old Italian tourist visiting Kenya was having breakfast with his wife in a tent at the Swara Camp in Kulalu ranch. He saw wild elephants and approached them closely. While taking a selfie he was charged by an elephant, sustained serious injuries to his leg and died at the camp.","[<sup class=""reference"" id=""cite_ref-132""><a href=""#cite_note-132"">[132]</a></sup>]"
2016-10-01,Nepal,1,Fall,A 19-year-old man from Nepal was taking a selfie when he slipped off a cliff and fell into Dordi stream in Lamjung district. His body was not immediately recovered.,"[<sup class=""reference"" id=""cite_ref-kp2016_133-0""><a href=""#cite_note-kp2016-133"">[133]</a></sup>]"
2016-10-01,India,2,Drowned,"Two teenagers from Hyderabad were taking selfies in a quarry recently filled with rainwater. They went too deep and, unable to swim to shore, they drowned.","[<sup class=""reference"" id=""cite_ref-134""><a href=""#cite_note-134"">[134]</a></sup>]"
2016-10-08,Oman,2,Drowned,"Two Sri Lankan girls were visiting Ain Garziz in Oman with their families. While at a picnic, they were taking selfies near a deep spring. One girl slipped into the spring and grabbed the hand of the other. She was unable to pull her companion out and was dragged down into the water where both of the girls drowned.","[<sup class=""reference"" id=""cite_ref-135""><a href=""#cite_note-135"">[135]</a></sup>]"
2016-10-09,India,1,Fall,A 25-year-old Indian man fell to his death while taking a selfie with his friends at Lion's Point Valley near Lonavla. He slipped and fell 200 feet (61 m) into a gorge and died on the spot.,"[<sup class=""reference"" id=""cite_ref-136""><a href=""#cite_note-136"">[136]</a></sup>]"
2016-10-09,Sri Lanka,1,Transport,A Chinese woman visiting Sri Lanka fell from a moving train while taking a selfie. She later died from her injuries.,"[<sup class=""reference"" id=""cite_ref-137""><a href=""#cite_note-137"">[137]</a></sup>]"
2016-10-11,India,1,Drowned,"A student drowned in the Jaldhaka River at Bindu village, Kalimpong subdivision in West Bengal. The body was retrieved four days later.","[<sup class=""reference"" id=""cite_ref-138""><a href=""#cite_note-138"">[138]</a></sup>]"
2016-10-12,India,1,Drowned,"A 25-year-old software engineer fell into a river and drowned in Gajapati, Odisha, India, while taking a selfie.","[<sup class=""reference"" id=""cite_ref-139""><a href=""#cite_note-139"">[139]</a></sup>]"
2016-10-18,Russia,1,Fall,A 12-year-old Russian schoolgirl climbed over a balcony on the 17th floor of a building and fell while taking a selfie.,"[<sup class=""reference"" id=""cite_ref-140""><a href=""#cite_note-140"">[140]</a></sup>]"
2016-11-11,India,2,Drowned,Two students drowned while taking selfies; they were swept away by currents in the Nagarjuna Sagar canal.,"[<sup class=""reference"" id=""cite_ref-141""><a href=""#cite_note-141"">[141]</a></sup>, <sup class=""reference"" id=""cite_ref-142""><a href=""#cite_note-142"">[142]</a></sup>]"
2017-01-01,India,1,Transport,"A 21-year-old engineering student died when he was hit by a speeding train while trying to take a selfie in Coimbatore, Tamil Nadu, India.","[<sup class=""reference"" id=""cite_ref-143""><a href=""#cite_note-143"">[143]</a></sup>]"
2017-01-04,Pakistan,1,Drowned,"In Sukkur, Pakistan, a man fell into the Indus River and drowned as he tried to capture his selfie at the Lansdowne Bridge Rohri. Asif Jamil, a resident of Christian Colony, was visiting the bridge with his wife for a picnic.","[<sup class=""reference"" id=""cite_ref-144""><a href=""#cite_note-144"">[144]</a></sup>]"
2017-01-06,Croatia,2,Electrocution,"In Rijeka, Croatia, two men climbed onto a container on a train where they wanted to take a selfie. A 20-year-old was killed and his 19-year-old friend was in serious condition, with second and third degree burns on more than 70 percent of his body as a result of an electric shock of 25,000 volts.","[<sup class=""reference"" id=""cite_ref-145""><a href=""#cite_note-145"">[145]</a></sup>]"
2017-01-13,India,1,Drowned,"A woman, Ashana Bhandari, fell into the Alaknanda River while she was trying to take a selfie near Koteshwar temple in Rudraprayag district in Uttarakhand, India.","[<sup class=""reference"" id=""cite_ref-146""><a href=""#cite_note-146"">[146]</a></sup>]"
2017-01-14,India,1,Transport,"A second-year college student died while taking a selfie in front of a running train on a railway track in Chandrakona Road, Paschim Medinipur district, West Bengal, India. He was immediately hit by the speeding train and died on the spot.","[<sup class=""reference"" id=""cite_ref-147""><a href=""#cite_note-147"">[147]</a></sup>]"
2017-01-14,India,2,Transport,"Two teenagers were crushed under a train while posing between two railway tracks at Anand Vihar, east Delhi. They had decided to go to the Anand Vihar railway lines to click ""daring selfies"" for their social media profiles.","[<sup class=""reference"" id=""cite_ref-148""><a href=""#cite_note-148"">[148]</a></sup>]"
2017-01-25,India,1,Transport,"A 22-year-old man died while attempting to take a selfie on the railway tracks near Dhuri Lines, Ludhiana, Punjab, India. A passenger train hit him while he was taking selfies.","[<sup class=""reference"" id=""cite_ref-149""><a href=""#cite_note-149"">[149]</a></sup>]"
2017-02-05,India,1,Fall,"A 22-year-old college student died after falling into a 50-metre-deep ravine while taking a selfie near Kolukhet on Dehradun-Mussoorie road in Uttarakhand, India.","[<sup class=""reference"" id=""cite_ref-150""><a href=""#cite_note-150"">[150]</a></sup>]"
2017-02-09,New Zealand,1,Drowned,"Four women were taking selfies on a rock in a river in New Zealand, ignoring a warning siren signalling a dam was about to be opened. One of the women, a 21-year-old university student, was swept to her death by the dam surge.","[<sup class=""reference"" id=""cite_ref-151""><a href=""#cite_note-151"">[151]</a></sup>, <sup class=""reference"" id=""cite_ref-152""><a href=""#cite_note-152"">[152]</a></sup>]"
2017-03-25,United States,1,Drowned,"A 14-year-old girl was standing on a log with friends at a beach in Bandon, Oregon, to pose for photos, possibly including selfies. She fell off and was pinned underwater by the log due to the receding tide. According to the girl's mother, when this occurred it was not a selfie; rather her picture was being taken by a friend.","[<sup class=""reference"" id=""cite_ref-153""><a href=""#cite_note-153"">[153]</a></sup>, <sup class=""reference"" id=""cite_ref-154""><a href=""#cite_note-154"">[154]</a></sup>]"
2017-03-25,Mexico,2,Transport,"In the city of Chínipas de Almada, Chihuahua, Mexico, two girls aged 17 and 18 went to see horse races at a track next to an airport runway. They decided to get on top of their pickup's roof, and started taking selfies as a plane was landing. The plane's wing fatally injured both girls. This would later earn them a Darwin Award.","[<sup class=""reference"" id=""cite_ref-155""><a href=""#cite_note-155"">[155]</a></sup>, <sup class=""reference"" id=""cite_ref-156""><a href=""#cite_note-156"">[156]</a></sup>]"
2017-04-13,India,5,Transport,"Police said Taraknath Makal was travelling by train with four friends – all aged between 25 and 30 years – when he reportedly leaned out of the door to take a selfie. However, he lost his footing and fell off the train. Makal's companions jumped out to save him, but ended up getting mowed down by another train coming from the opposite direction. While the four friends – Sumit Kumar, Sanjiv Polley, Kajal Saha and Chandan Polley – lost their lives, Makal later died in hospital. The incident occurred between Liluah and Belur stations, in the vicinity of Howrah, India.","[<sup class=""reference"" id=""cite_ref-157""><a href=""#cite_note-157"">[157]</a></sup>]"
2017-04-30,Germany,1,Transport,"A Scottish man was knocked down and killed after trying to take a selfie on a German motorway. He was with two friends when he was hit by a car on the A24 Autobahn in Gudow, near Hamburg. Witnesses reported seeing the three men taking ""cell phone pictures of themselves"".","[<sup class=""reference"" id=""cite_ref-158""><a href=""#cite_note-158"">[158]</a></sup>]"
2017-05-08,India,1,Drowned,A 21-year-old engineering student slipped from a rock and drowned near Bandra Fort in Mumbai after trying to take a selfie with her mother and sister.,"[<sup class=""reference"" id=""cite_ref-159""><a href=""#cite_note-159"">[159]</a></sup>]"
2017-05-24,India,2,Drowned,"Two youths 21 and 22 years old from Hooghly district, India, drowned in a fish pond while taking a selfie as they did not know how to swim. They were taking selfies in waist-deep water but suddenly, the duo slipped from the bank and went underwater. The locals first failed to find their bodies. Later, divers from Kolkata recovered both the bodies from the pond.","[<sup class=""reference"" id=""cite_ref-160""><a href=""#cite_note-160"">[160]</a></sup>]"
2017-05-30,India,2,Transport,"At Alwal Railway station near Secunderabad, India, a man died while another lost his hand when the duo was run over by a moving train while taking selfies.","[<sup class=""reference"" id=""cite_ref-161""><a href=""#cite_note-161"">[161]</a></sup>]"
2017-06-07,India,1,Animal,A man in Dhenkanal district was seriously injured by a wild elephant when he tried to take a selfie with the animal.,"[<sup class=""reference"" id=""cite_ref-162""><a href=""#cite_note-162"">[162]</a></sup>]"
2017-06-11,Sri Lanka,2,Transport,"Two youths from same family in Sri Lanka were killed when they were hit by a train while they were taking a selfie standing on the rail track. According to the police, the two brothers, aged 25 and 12, were standing on the coastal train track between the Bambalapitiya and Kollupitiya stations and attempting to take a selfie when they were hit by  Aluthgama bound express train from Maradana to Galle.","[<sup class=""reference"" id=""cite_ref-163""><a href=""#cite_note-163"">[163]</a></sup>]"
2017-06-11,Russia,4,Transport,"Four children aged 10 to 13 were hit by a train while trying to take a selfie on a railway line in Nadezhdinsky District of Primorsky Krai, 43 km northwest of Vladivostok, Russia. Three were killed and one survived with injuries.","[<sup class=""reference"" id=""cite_ref-164""><a href=""#cite_note-164"">[164]</a></sup>, <sup class=""reference"" id=""cite_ref-165""><a href=""#cite_note-165"">[165]</a></sup>]"
2017-06-13,Sri Lanka,2,Transport,"A 24-year-old groom was killed and his bride seriously injured when the newly-wed couple tried to take a selfie on the railway track at Kahawa, in the Southern Province, Sri Lanka. According to eyewitnesses, the couple had ignored warning signals given by the people in the area saying that the train was coming.","[<sup class=""reference"" id=""cite_ref-166""><a href=""#cite_note-166"">[166]</a></sup>]"
2017-06-13,Russia,1,Electrocution,"A 15-year-old boy was killed when he tried to climb onto a high-voltage wire to take a selfie in Perm Krai, Russia.",[]
2017-06-16,Russia,1,Electrocution,"A 17-year-old boy was killed when he took a selfie near a high-voltage electric cable in Novosibirsk Oblast, Russia.",[]
2017-06-17,Russia,1,Electrocution,"A 14-year-old girl was electrocuted when taking a selfie on a railway bridge in Moscow Oblast, Russia, when her head accidentally touched the overhead wires.",[]
2017-06-22,United Kingdom,1,Fall,A 23-year-old woman from South Korea fell from Seaford Head while jumping in the air to pose for a photo.,"[<sup class=""reference"" id=""cite_ref-167""><a href=""#cite_note-167"">[167]</a></sup>]"
2017-06-27,India,1,Drowned,A 17-year-old girl drowned in Mumbai when taking selfies with her friends. She was swept away by a strong wave.,"[<sup class=""reference"" id=""cite_ref-168""><a href=""#cite_note-168"">[168]</a></sup>]"
2017-07-01,Nigeria,2,Drowned,"Four undergraduate students of the Federal University of Technology, Akure, Nigeria, were taking selfies in a canoe while boating on a campus pond. The canoe capsized. Two students who could swim barely made it to safety while two others drowned.","[<sup class=""reference"" id=""cite_ref-169""><a href=""#cite_note-169"">[169]</a></sup>]"
2017-07-10,India,8,Drowned,The boat capsized in Vena reservoir near Nagpur when a group of friends were taking selfie and broadcasting on Facebook live.,"[<sup class=""reference"" id=""cite_ref-170""><a href=""#cite_note-170"">[170]</a></sup>]"
2017-07-16,India,48,Fire,"48 people were injured when standing too close to a burning bakery in Chennai, India, to take selfies. They repeatedly ignored warnings advising them to move away from the blaze.","[<sup class=""reference"" id=""cite_ref-171""><a href=""#cite_note-171"">[171]</a></sup>]"
2017-07-25,India,1,Animal,"A 30-year-old man sneaked into the Bannerghatta Biological Park near Bangalore, India, with friends to take selfies with an elephant that later trampled him to death.","[<sup class=""reference"" id=""cite_ref-172""><a href=""#cite_note-172"">[172]</a></sup>]"
2017-07-26,Hungary,1,Fall,A local girl fell off a bridge in Budapest suffering serious injuries while taking a selfie.,"[<sup class=""reference"" id=""cite_ref-173""><a href=""#cite_note-173"">[173]</a></sup>]"
2017-07-26,India,1,Drowned,"An 18-year-old was swept into the sea and drowned while he was taking a selfie at a beach in Mumbai, India, during high tide.","[<sup class=""reference"" id=""cite_ref-174""><a href=""#cite_note-174"">[174]</a></sup>]"
2017-08-11,India,1,Electrocution,"A 17-year-old boy climbed on top of a train in Ambarnath, India, to take a selfie but came into contact with a live wire, suffering severe injuries from the resulting electric shock.","[<sup class=""reference"" id=""cite_ref-175""><a href=""#cite_note-175"">[175]</a></sup>]"
2017-08-26,India,1,Electrocution,"A 17-year-old boy attempted to take a selfie on top of a train carriage in Tambaram railway station, India. He touched a live wire, suffered severe burns from electric shock and died four days later.","[<sup class=""reference"" id=""cite_ref-176""><a href=""#cite_note-176"">[176]</a></sup>]"
2017-09-02,India,1,Animal,"A youth in Rourkela, Odisha, was trampled to death by a wild elephant while trying to take a selfie with the animal.","[<sup class=""reference"" id=""cite_ref-177""><a href=""#cite_note-177"">[177]</a></sup>]"
2017-09-12,United Kingdom,1,Transport,"A 41-year-old woman from New Zealand who took a selfie as she rode her bike died after she fell off shortly afterwards, following a night out to celebrate her mum's birthday in London. Graphic designer and mother-of-two was with mum when they rode home from the pub and the accident happened, an inquest into Greenway's was told on Thursday. The 41-year-old had drunk two cocktails and four glasses of wine. But she was not wearing a helmet and may have been riding relaxed and one-handed when she tumbled to the floor, suffering fatal head injuries.","[<sup class=""reference"" id=""cite_ref-178""><a href=""#cite_note-178"">[178]</a></sup>]"
2017-09-16,Malaysia,1,Fall,"A 20-year-old man believed to be taking a selfie died after he fell from the 16th floor of a resort hotel in Genting Highlands, Pahang, Malaysia. It is believed that he had climbed a wall on the 16th floor of the hotel's car park to take photographs when he slipped and fell.","[<sup class=""reference"" id=""cite_ref-179""><a href=""#cite_note-179"">[179]</a></sup>]"
2017-11-12,United Kingdom,1,Fall,A 20-year-old woman from New Zealand died on 14 November after she allegedly attempted to take a selfie near a second-storey window in London. She suffered a serious brain injury as a result of the fall.,"[<sup class=""reference"" id=""cite_ref-180""><a href=""#cite_note-180"">[180]</a></sup>]"
2017-12-25,Mexico,1,Fall,"A 20-year-old woman from Aguascalientes (Mexico) died during a selfie session in the Malpaso Dam, a popular spot in the State of Aguascalientes. According to witnesses, she accessed a restricted zone to take the selfie before slipping and falling 15 meters, dying from severe craneoencephalic traumatism.","[<sup class=""reference"" id=""cite_ref-181""><a href=""#cite_note-181"">[181]</a></sup>]"
2018-01-08,Croatia,1,Electrocution,"In Zagreb, Croatia, 14-year-old boy climbed onto the roof of a train cargo wagon where he wanted to take a selfie. He was electrocuted and his body ""burned like a torch."" Firefighters were unable to take action until the train's power was turned off.","[<sup class=""reference"" id=""cite_ref-182""><a href=""#cite_note-182"">[182]</a></sup>]"
2018-01-11,Colombia,1,Fall,"In Gámbita, Santander, Colombia, a 19-year-old girl fell while trying to take a selfie at ""Manto de la Virgen"" falls.","[<sup class=""reference"" id=""cite_ref-183""><a href=""#cite_note-183"">[183]</a></sup>]"
2018-01-24,India,1,Transport,"A 22-year-old Indian man was struck by a train while recording a selfie video very close to some train tracks. His selfie video captured the entire incident, showing the man being struck after brazenly ignoring the train's horn. The video released went viral, However, some media are reporting that it was a hoax and that the man is still alive with no injuries.","[<sup class=""noprint Inline-Template Template-Fact"" style=""white-space:nowrap;"">[<i><a href=""/wiki/Wikipedia:Citation_needed"" title=""Wikipedia:Citation needed""><span title=""This claim needs references to reliable sources. (December 2019)"">citation needed</span></a></i>]</sup>]"
2018-02-09,Thailand,2,Transport,"A 24-year-old Thai woman died as a result of her injuries when a train hit her while attempting to take a photo with an outgoing train in the background near Samsen train station in Bangkok's Phaya Thai District. A man, believed to be a colleague of the victim, was knocked unconscious by the train, suffering a head injury and a broken arm.","[<sup class=""reference"" id=""cite_ref-184""><a href=""#cite_note-184"">[184]</a></sup>]"
2018-03-11,United States,5,Drowned,"Five passengers aboard a sightseeing helicopter (with doors off) drowned after a passenger allegedly tried to take a 'shoe selfie', leading to the passenger's safety tether getting caught in the emergency fuel shutoff lever. A shoe selfie is when the person's shoes can be seen while looking out of the open doorway of a helicopter.","[<sup class=""reference"" id=""cite_ref-185""><a href=""#cite_note-185"">[185]</a></sup>]"
2018-04-20,Greece,1,Fall,"In Keratsini, Greece, a 16-year-old boy died after he fell from a height of 60 meters after climbing on a rock to take a selfie at a park.","[<sup class=""reference"" id=""cite_ref-186""><a href=""#cite_note-186"">[186]</a></sup>]"
2018-04-22,Brazil,3,Fall,"In Castelo do Piauí, Piauí, Brazil, A 22-year-old woman and two girls aged 16 and 15 fell from a height of 10 meters while taking a selfie on a bridge in Piauí, Northeast Brazil, when the platform on the side of the bridge collapsed. They suffered fractures.","[<sup class=""reference"" id=""cite_ref-187""><a href=""#cite_note-187"">[187]</a></sup>]"
2018-04-30,Brazil,1,Fall,"At Corumbá Lake in Caldas Novas, a 34-year-old man ended up drowning, after falling off a platform in an attempt to take a selfie.","[<sup class=""reference"" id=""cite_ref-188""><a href=""#cite_note-188"">[188]</a></sup>]"
2018-05-02,India,1,Animal,"In Nabarangpur, Odisha, India, a man tried to take a selfie with a wounded bear and was mauled to death.","[<sup class=""reference"" id=""cite_ref-189""><a href=""#cite_note-189"">[189]</a></sup>]"
2018-06-11,Indonesia,1,Fall,"A 46-year-old Chinese tourist died after falling into the sea while taking a selfie on a cliff at Devil's Tears on Nusa Lembongan, an island off the coast of Bali.","[<sup class=""reference"" id=""cite_ref-190""><a href=""#cite_note-190"">[190]</a></sup>]"
2018-06-12,Portugal,2,Fall,"On the Praia dos Pescadores, Ericeira, Portugal, an Australian couple fell to their deaths when they tried to take a selfie on a 30-meter-high (98 ft) wall.","[<sup class=""reference"" id=""cite_ref-191""><a href=""#cite_note-191"">[191]</a></sup>]"
2018-07-22,Australia,1,Fall,"A 19-year-old man from West Haven, Utah, fell at Cape Solander in Kurnell near Sydney, Australia.","[<sup class=""reference"" id=""cite_ref-192""><a href=""#cite_note-192"">[192]</a></sup>, <sup class=""reference"" id=""cite_ref-193""><a href=""#cite_note-193"">[193]</a></sup>]"
2018-09-05,United States,1,Fall,An Israeli teen fell to his death while trying to take a selfie at Yosemite National Park.,"[<sup class=""reference"" id=""cite_ref-194""><a href=""#cite_note-194"">[194]</a></sup>]"
2018-09-19,United States,1,Fall,A Californian woman fell to her death while taking selfies on the edge of a 200-foot cliff over Lake Superior at Pictured Rocks National Lakeshore.,"[<sup class=""reference"" id=""cite_ref-195""><a href=""#cite_note-195"">[195]</a></sup>]"
2018-10-12,Panama,1,Fall,A Portuguese woman fell to her death while taking a selfie on the 27th floor balcony of a Panamanian residential building.,"[<sup class=""reference"" id=""cite_ref-196""><a href=""#cite_note-196"">[196]</a></sup>]"
2018-10-25,United States,2,Fall,An Indian couple fell to their deaths from Taft Point at Yosemite National Park.,"[<sup class=""reference"" id=""cite_ref-197""><a href=""#cite_note-197"">[197]</a></sup>, <sup class=""reference"" id=""cite_ref-198""><a href=""#cite_note-198"">[198]</a></sup>]"
2018-11-12,Sri Lanka,1,Fall,"A German tourist died after stumbling off a precipitous cliff in Sri Lanka while taking a photo of herself. The 35-year-old woman was taking pictures with her friend when she fell off the World's End, a sheer cliff about 4,000 feet (1,200 meters) high. The Sri Lankan army and volunteers recovered the body after a six-hour search involving air support and climbing. World's End is located in Horton Plains National Park in central Sri Lanka and is one of the Indian Ocean island's biggest tourist attractions.","[<sup class=""reference"" id=""cite_ref-199""><a href=""#cite_note-199"">[199]</a></sup>]"
2019-01-04,Ireland,1,Fall,"A young Indian man died after falling off the Cliffs of Moher, County Clare, while taking a photo of himself.","[<sup class=""reference"" id=""cite_ref-200""><a href=""#cite_note-200"">[200]</a></sup>, <sup class=""reference"" id=""cite_ref-201""><a href=""#cite_note-201"">[201]</a></sup>]"
2019-01-10,Colombia,1,Fall,"A 32-year-old man died after fall down in a waterfall in Sucre (Cauca), while he attempted to take a photo of himself.","[<sup class=""reference"" id=""cite_ref-202""><a href=""#cite_note-202"">[202]</a></sup>]"
2019-03-09,United States,1,Animal,"A woman was mauled by a jaguar in Arizona after entering a zoo enclosure to take a selfie. She received non-life-threatening injuries, including a large gash on her arm.Note: Although widely reported as a selfie incident, the victim claimed in a later CBS News interview that she was not taking a selfie, and did not enter the zoo enclosure—she only reached across a below-waist-height concrete planter in front of a much higher fenced enclosure—misleadingly termed ""climbing"" or ""crossing"" a barrier.","[<sup class=""reference"" id=""cite_ref-203""><a href=""#cite_note-203"">[203]</a></sup>]"
2019-04-01,Uganda,1,Drowned,"A person visiting Kalagala Falls leaned back to take a selfie, slipped on the wet ground, fell, and drowned.","[<sup class=""reference"" id=""cite_ref-204""><a href=""#cite_note-204"">[204]</a></sup>]"
2019-04-24,Germany,2,Drowned,"A 21-year-old man was swimming in the Gumpen waterfall pool. The waterfalls are hard to reach, but social media posts from recent years made them famous for a great view of the lake, the gushing waters, and people bathing in tiny natural pools. When the man was unable to free himself from the waterfall swirl, his friend of the same age jumped in to help him out of the 4–6 °C cold water. Both drowned.","[<sup class=""reference"" id=""cite_ref-205""><a href=""#cite_note-205"">[205]</a></sup>, <sup class=""reference"" id=""cite_ref-206""><a href=""#cite_note-206"">[206]</a></sup>]"
2019-07-04,Spain,2,Fall,"Two men aged 20 and 25 from Somerset, England, died while reportedly taking a selfie on holiday in Spain. They were at Punta Prima Beach, near the town of Torrevieja.","[<sup class=""reference"" id=""cite_ref-207""><a href=""#cite_note-207"">[207]</a></sup>]"
2019-07-14,Italy,1,Fall,A 22-year-old man died after falling from a cliff with a waterfall.,"[<sup class=""reference"" id=""cite_ref-208""><a href=""#cite_note-208"">[208]</a></sup>, <sup class=""reference"" id=""cite_ref-209""><a href=""#cite_note-209"">[209]</a></sup>]"
2019-07-15,Pakistan,1,Fall,A college student fell into Kabul River in Nowshera district of Khyber Pakhtunkhwa while taking a selfie.,"[<sup class=""reference"" id=""cite_ref-210""><a href=""#cite_note-210"">[210]</a></sup>]"
2019-07-16,Pakistan,2,Drowned,"A 17-year-old girl slipped while taking a selfie and fell into a river. Her father jumped into the river in an attempt to rescue her, but was also swept away by the flowing water.","[<sup class=""reference"" id=""cite_ref-211""><a href=""#cite_note-211"">[211]</a></sup>]"
2019-08-17,Australia,1,Fall,A 27-year-old woman died after falling from cliff at one of Sydney's most popular selfie spots.,"[<sup class=""reference"" id=""cite_ref-212""><a href=""#cite_note-212"">[212]</a></sup>]"
2019-09-03,India,1,Fall,"Woman from Madhya Pradesh fell at least 200 feet to her death, while allegedly clicking a selfie on her way to a temple on a hilltop in Pavagadh hill station.","[<sup class=""reference"" id=""cite_ref-213""><a href=""#cite_note-213"">[213]</a></sup>]"
2019-10-07,India,4,Fall,"Wedding guests fall from a dam in India, four drown.","[<sup class=""reference"" id=""cite_ref-214""><a href=""#cite_note-214"">[214]</a></sup>, <sup class=""reference"" id=""cite_ref-215""><a href=""#cite_note-215"">[215]</a></sup>]"
2019-11-14,Thailand,1,Fall,A 33 year-old died when they were on a waterfall and they attempted to take a selfie and they slipped and fell from the waterfall.,"[<sup class=""reference"" id=""cite_ref-216""><a href=""#cite_note-216"">[216]</a></sup>]"
2020-01-08,Colombia,1,Fall,"A 29-year-old woman died after falling 10m down in a waterfall in Sucre, Cauca. According to eyewitness, the woman was attempting to take a selfie, ignoring the written warnings about risk of falling. A year before, a man died in the same place under similar circumstances.","[<sup class=""reference"" id=""cite_ref-217""><a href=""#cite_note-217"">[217]</a></sup>]"
